page,value,x,y
/~nmchenry1/index_charts.html,295.6999512,188,131
/~nmchenry1/index_charts.html,313.6999512,300,163
/~nmchenry1/index_charts.html,327.6999512,357,186
/~nmchenry1/index_charts.html,344.6999512,423,221
/~nmchenry1/index_charts.html,362.6999512,479,251
/~nmchenry1/index_charts.html,378.6999512,502,264
/~nmchenry1/index_charts.html,395,171,123
/~nmchenry1/index_charts.html,395.6999512,540,283
/~nmchenry1/index_charts.html,411,194,143
/~nmchenry1/index_charts.html,411.6999512,560,291
/~nmchenry1/index_charts.html,428,220,163
/~nmchenry1/index_charts.html,428.6999512,562,291
/~nmchenry1/index_charts.html,445,288,209
/~nmchenry1/index_charts.html,461,345,251
/~nmchenry1/index_charts.html,479,388,284
/~nmchenry1/index_charts.html,495,407,297
/~nmchenry1/index_charts.html,512,434,316
/~nmchenry1/index_charts.html,529,450,327
/~nmchenry1/index_charts.html,545,452,328
/~nmchenry1/index_charts.html,562,454,329
/~nmchenry1/index_charts.html,794.6999512,562,293
/~nmchenry1/index_charts.html,811.6999512,554,306
/~nmchenry1/index_charts.html,827.6999512,545,315
/~nmchenry1/index_charts.html,846.6999512,522,329
/~nmchenry1/index_charts.html,862.6999512,496,336
/~nmchenry1/index_charts.html,879.6999512,487,338
/~nmchenry1/index_charts.html,894.6999512,476,338
/~nmchenry1/index_charts.html,1211,454,330
/~nmchenry1/index_charts.html,1228,451,331
/~nmchenry1/index_charts.html,1228.699951,470,343
/~nmchenry1/index_charts.html,1246.699951,425,367
/~nmchenry1/index_charts.html,1247,442,331
/~nmchenry1/index_charts.html,1262,438,331
/~nmchenry1/index_charts.html,1263.699951,399,379
/~nmchenry1/index_charts.html,1279.699951,368,392
/~nmchenry1/index_charts.html,1280,431,331
/~nmchenry1/index_charts.html,1294,426,331
/~nmchenry1/index_charts.html,1295.699951,351,395
/~nmchenry1/index_charts.html,1311.699951,341,396
/~nmchenry1/index_charts.html,1313,424,331
/~nmchenry1/index_charts.html,1330,422,331
/~nmchenry1/index_charts.html,1330.699951,339,396
/~nmchenry1/index_charts.html,1345,420,331
/~nmchenry1/index_charts.html,1345.699951,336,396
/~nmchenry1/index_charts.html,1362,419,331
/~nmchenry1/index_charts.html,1378.699951,335,396
/~nmchenry1/index_charts.html,1394.699951,335,395
/~nmchenry1/index_charts.html,1395,417,331
/~nmchenry1/index_charts.html,1412,416,331
/~nmchenry1/index_charts.html,1412.699951,334,395
/~nmchenry1/index_charts.html,1429,415,331
/~nmchenry1/index_charts.html,1462,414,331
/~nmchenry1/index_charts.html,1528,413,331
/~nmchenry1/index_charts.html,1628.699951,334,394
/~nmchenry1/index_charts.html,1644.699951,336,391
/~nmchenry1/index_charts.html,1661.699951,339,387
/~nmchenry1/index_charts.html,1678.699951,343,383
/~nmchenry1/index_charts.html,1695.699951,348,378
/~nmchenry1/index_charts.html,1712.699951,349,376
/~nmchenry1/index_charts.html,1728.699951,352,374
/~nmchenry1/index_charts.html,1746.699951,354,371
/~nmchenry1/index_charts.html,1761.699951,356,369
/~nmchenry1/index_charts.html,1779.699951,356,368
/~nmchenry1/index_charts.html,1794.699951,356,367
/~nmchenry1/index_charts.html,1828.699951,357,367
/~nmchenry1/index_charts.html,2361,412,331
/~nmchenry1/index_charts.html,2395,411,331
/~nmchenry1/index_charts.html,2446,410,331
/~nmchenry1/index_charts.html,2479,409,331
/~nmchenry1/index_charts.html,2513,408,331
/~nmchenry1/index_charts.html,2528,407,330
/~nmchenry1/index_charts.html,2545,405,329
/~nmchenry1/index_charts.html,2562,404,329
/~nmchenry1/index_charts.html,2579,401,327
/~nmchenry1/index_charts.html,2579.699951,364,366
/~nmchenry1/index_charts.html,2595,399,327
/~nmchenry1/index_charts.html,2595.699951,384,366
/~nmchenry1/index_charts.html,2612,396,326
/~nmchenry1/index_charts.html,2612.699951,395,366
/~nmchenry1/index_charts.html,2628,395,326
/~nmchenry1/index_charts.html,2628.699951,414,366
/~nmchenry1/index_charts.html,2645,392,325
/~nmchenry1/index_charts.html,2645.699951,430,366
/~nmchenry1/index_charts.html,2662,391,324
/~nmchenry1/index_charts.html,2662.699951,443,368
/~nmchenry1/index_charts.html,2678,390,324
/~nmchenry1/index_charts.html,2678.699951,449,369
/~nmchenry1/index_charts.html,2695.699951,456,370
/~nmchenry1/index_charts.html,2711.699951,460,370
/~nmchenry1/index_charts.html,2712,389,324
/~nmchenry1/index_charts.html,2762,388,324
/~nmchenry1/index_charts.html,3028.699951,453,377
/~nmchenry1/index_charts.html,3045.699951,380,448
/~nmchenry1/index_charts.html,3063.699951,344,483
/~nmchenry1/index_charts.html,3080.699951,338,491
/~nmchenry1/index_charts.html,3095.699951,328,498
/~nmchenry1/index_charts.html,3113.699951,324,503
/~nmchenry1/index_charts.html,3129.699951,323,504
/~nmchenry1/index_charts.html,3145.699951,322,507
/~nmchenry1/index_charts.html,3161.699951,321,513
/~nmchenry1/index_charts.html,3178.699951,320,518
/~nmchenry1/index_charts.html,3195.699951,320,531
/~nmchenry1/index_charts.html,3212.699951,324,547
/~nmchenry1/index_charts.html,3229.699951,327,554
/~nmchenry1/index_charts.html,3245.699951,330,563
/~nmchenry1/index_charts.html,3261.699951,332,566
/~nmchenry1/index_charts.html,3279.699951,332,567
/~nmchenry1/index_charts.html,3346,388,327
/~nmchenry1/index_charts.html,3362,388,328
/~nmchenry1/index_charts.html,3363.699951,333,567
/~nmchenry1/index_charts.html,3378,388,331
/~nmchenry1/index_charts.html,3378.699951,336,567
/~nmchenry1/index_charts.html,3395,388,335
/~nmchenry1/index_charts.html,3397.699951,339,567
/~nmchenry1/index_charts.html,3411,388,336
/~nmchenry1/index_charts.html,3412.699951,341,567
/~nmchenry1/index_charts.html,3428.699951,344,568
/~nmchenry1/index_charts.html,3429,388,338
/~nmchenry1/index_charts.html,3445.699951,345,569
/~nmchenry1/index_charts.html,3446,388,339
/~nmchenry1/index_charts.html,3462,388,340
/~nmchenry1/index_charts.html,3478,388,341
/~nmchenry1/index_charts.html,3512,388,342
/~nmchenry1/index_charts.html,3529,388,343
/~nmchenry1/index_charts.html,3596,388,344
/~nmchenry1/index_charts.html,3631,388,345
/~nmchenry1/index_charts.html,3728,388,346
/~nmchenry1/index_charts.html,3779,388,347
/~nmchenry1/index_charts.html,3828,388,350
/~nmchenry1/index_charts.html,3862,388,351
/~nmchenry1/index_charts.html,3928,388,352
/~nmchenry1/index_charts.html,4312.699951,355,722
/~nmchenry1/index_charts.html,4327.699951,393,707
/~nmchenry1/index_charts.html,4344.699951,446,691
/~nmchenry1/index_charts.html,4360.699951,476,680
/~nmchenry1/index_charts.html,4377.699951,528,663
/~nmchenry1/index_charts.html,4394.699951,575,649
/~nmchenry1/index_charts.html,4410.699951,594,643
/~nmchenry1/index_charts.html,4427.699951,620,637
/~nmchenry1/index_charts.html,4444.699951,639,631
/~nmchenry1/index_charts.html,4461.699951,644,629
/~nmchenry1/index_charts.html,4478.699951,645,628
/~nmchenry1/index_charts.html,4495,388,353
/~nmchenry1/index_charts.html,4512,388,354
/~nmchenry1/index_charts.html,4546,388,355
/~nmchenry1/index_charts.html,4629,388,356
/~nmchenry1/index_charts.html,4644,388,357
/~nmchenry1/index_charts.html,4696,388,358
/~nmchenry1/index_charts.html,4712,388,359
/~nmchenry1/index_charts.html,4728.699951,656,627
/~nmchenry1/index_charts.html,4744.699951,678,627
/~nmchenry1/index_charts.html,4760.699951,761,620
/~nmchenry1/index_charts.html,4779.699951,818,614
/~nmchenry1/index_charts.html,4812.699951,863,608
/~nmchenry1/index_charts.html,4813,388,360
/~nmchenry1/index_charts.html,4827.699951,880,603
/~nmchenry1/index_charts.html,4845,388,361
/~nmchenry1/index_charts.html,4845.699951,892,603
/~nmchenry1/index_charts.html,4877.699951,894,603
/~nmchenry1/index_charts.html,4978,388,362
/~nmchenry1/index_charts.html,5062,388,363
/~nmchenry1/index_charts.html,5110.699951,893,603
/~nmchenry1/index_charts.html,5128.699951,892,603
/~nmchenry1/index_charts.html,5144.699951,891,605
/~nmchenry1/index_charts.html,5161.699951,889,607
/~nmchenry1/index_charts.html,5177.699951,886,609
/~nmchenry1/index_charts.html,5194.699951,885,610
/~nmchenry1/index_charts.html,5211.699951,883,611
/~nmchenry1/index_charts.html,5227.699951,881,613
/~nmchenry1/index_charts.html,5244.699951,880,613
/~nmchenry1/index_charts.html,5260.699951,880,614
/~nmchenry1/index_charts.html,5277.699951,879,614
/~nmchenry1/index_charts.html,5311.699951,878,615
/~nmchenry1/index_charts.html,5377.699951,877,615
/~nmchenry1/index_charts.html,5428.699951,876,615
/~nmchenry1/index_charts.html,5463.699951,876,616
/~nmchenry1/index_charts.html,5594.699951,876,617
/~nmchenry1/index_charts.html,5627.699951,875,617
/~nmchenry1/index_charts.html,5645.699951,875,618
/~nmchenry1/index_charts.html,5660.699951,874,618
/~nmchenry1/index_charts.html,5678.699951,874,619
/~nmchenry1/index_charts.html,5694.699951,874,620
/~nmchenry1/index_charts.html,5711.699951,873,620
/~nmchenry1/index_charts.html,5728.699951,873,621
/~nmchenry1/index_charts.html,5744.699951,872,621
/~nmchenry1/index_charts.html,5778.699951,872,622
/~nmchenry1/index_charts.html,5911.699951,872,623
/~nmchenry1/index_charts.html,5978.699951,871,623
/~nmchenry1/index_charts.html,5993.699951,869,626
/~nmchenry1/index_charts.html,6010.699951,867,631
