page,value,x,y
/~nmchenry1/index_maps.html,608.8999023,325,298
/~nmchenry1/index_maps.html,622.6000977,323,391
/~nmchenry1/index_maps.html,785.6000977,337,395
/~nmchenry1/index_maps.html,836.6000977,470,427
/~nmchenry1/index_maps.html,852.6000977,484,432
/~nmchenry1/index_maps.html,872.6000977,506,438
/~nmchenry1/index_maps.html,877.8999023,326,299
/~nmchenry1/index_maps.html,885.6000977,517,440
/~nmchenry1/index_maps.html,895.8999023,328,302
/~nmchenry1/index_maps.html,903.6000977,520,441
/~nmchenry1/index_maps.html,912.8999023,336,312
/~nmchenry1/index_maps.html,927.8999023,351,325
/~nmchenry1/index_maps.html,945.8999023,374,343
/~nmchenry1/index_maps.html,961.8999023,392,354
/~nmchenry1/index_maps.html,981.8999023,421,371
/~nmchenry1/index_maps.html,996.8999023,439,380
/~nmchenry1/index_maps.html,1012.899902,446,384
/~nmchenry1/index_maps.html,1029.899902,452,388
/~nmchenry1/index_maps.html,1045.899902,454,389
/~nmchenry1/index_maps.html,1236.600098,536,443
/~nmchenry1/index_maps.html,1254.600098,556,447
/~nmchenry1/index_maps.html,1269.600098,604,452
/~nmchenry1/index_maps.html,1286.600098,633,457
/~nmchenry1/index_maps.html,1302.600098,643,459
/~nmchenry1/index_maps.html,1311.899902,459,395
/~nmchenry1/index_maps.html,1319.600098,644,459
/~nmchenry1/index_maps.html,1328.899902,472,407
/~nmchenry1/index_maps.html,1345.899902,483,413
/~nmchenry1/index_maps.html,1362.899902,503,419
/~nmchenry1/index_maps.html,1379.899902,520,420
/~nmchenry1/index_maps.html,1395.899902,526,420
/~nmchenry1/index_maps.html,1412.899902,541,420
/~nmchenry1/index_maps.html,1429.899902,556,418
/~nmchenry1/index_maps.html,1446.899902,565,415
/~nmchenry1/index_maps.html,2236.600098,816,543
/~nmchenry1/index_maps.html,2261.899902,732,470
/~nmchenry1/index_maps.html,2519.600098,810,536
/~nmchenry1/index_maps.html,2535.600098,791,511
/~nmchenry1/index_maps.html,2552.600098,784,502
/~nmchenry1/index_maps.html,2569.600098,778,490
/~nmchenry1/index_maps.html,2577.899902,734,470
/~nmchenry1/index_maps.html,2585.600098,776,485
/~nmchenry1/index_maps.html,2594.899902,745,466
/~nmchenry1/index_maps.html,2603.600098,775,483
/~nmchenry1/index_maps.html,2610.899902,761,458
/~nmchenry1/index_maps.html,2619.600098,773,479
/~nmchenry1/index_maps.html,2627.899902,768,452
/~nmchenry1/index_maps.html,2635.600098,772,474
/~nmchenry1/index_maps.html,2643.899902,784,440
/~nmchenry1/index_maps.html,2652.600098,771,470
/~nmchenry1/index_maps.html,2660.899902,798,427
/~nmchenry1/index_maps.html,2668.600098,770,468
/~nmchenry1/index_maps.html,2676.899902,808,418
/~nmchenry1/index_maps.html,2686.600098,768,466
/~nmchenry1/index_maps.html,2694.899902,811,415
/~nmchenry1/index_maps.html,2701.600098,766,462
/~nmchenry1/index_maps.html,2710.899902,812,414
/~nmchenry1/index_maps.html,2718.600098,766,459
/~nmchenry1/index_maps.html,2728.899902,813,413
/~nmchenry1/index_maps.html,2736.600098,760,448
/~nmchenry1/index_maps.html,2751.600098,754,436
/~nmchenry1/index_maps.html,2769.600098,753,432
/~nmchenry1/index_maps.html,2785.600098,751,427
/~nmchenry1/index_maps.html,2802.600098,749,423
/~nmchenry1/index_maps.html,2811.899902,813,412
/~nmchenry1/index_maps.html,2818.600098,748,420
/~nmchenry1/index_maps.html,2835.600098,748,419
/~nmchenry1/index_maps.html,2852.600098,747,414
/~nmchenry1/index_maps.html,2868.600098,745,409
/~nmchenry1/index_maps.html,2885.600098,744,406
/~nmchenry1/index_maps.html,2903.600098,737,394
/~nmchenry1/index_maps.html,2919.600098,734,383
/~nmchenry1/index_maps.html,2934.600098,732,380
/~nmchenry1/index_maps.html,2952.600098,730,375
/~nmchenry1/index_maps.html,2969.600098,728,373
/~nmchenry1/index_maps.html,2977.899902,814,412
/~nmchenry1/index_maps.html,2986.600098,728,371
/~nmchenry1/index_maps.html,3002.600098,727,370
/~nmchenry1/index_maps.html,3010.899902,813,411
/~nmchenry1/index_maps.html,3020.600098,727,369
/~nmchenry1/index_maps.html,3027.899902,810,407
/~nmchenry1/index_maps.html,3036.600098,727,368
/~nmchenry1/index_maps.html,3043.899902,807,403
/~nmchenry1/index_maps.html,3062.899902,805,400
/~nmchenry1/index_maps.html,3077.899902,804,400
/~nmchenry1/index_maps.html,3094.899902,804,399
/~nmchenry1/index_maps.html,3111.899902,804,397
/~nmchenry1/index_maps.html,3126.899902,803,395
/~nmchenry1/index_maps.html,3161.899902,803,393
/~nmchenry1/index_maps.html,3177.899902,803,391
/~nmchenry1/index_maps.html,3211.899902,803,390
/~nmchenry1/index_maps.html,3227.899902,804,389
/~nmchenry1/index_maps.html,3244.899902,808,388
/~nmchenry1/index_maps.html,3261.899902,828,385
/~nmchenry1/index_maps.html,3278.899902,857,385
/~nmchenry1/index_maps.html,3294.899902,876,387
/~nmchenry1/index_maps.html,3310.899902,881,388
/~nmchenry1/index_maps.html,3327.899902,887,389
/~nmchenry1/index_maps.html,3342.899902,888,390
/~nmchenry1/index_maps.html,3852.600098,724,368
/~nmchenry1/index_maps.html,3869.600098,722,367
/~nmchenry1/index_maps.html,3884.600098,720,367
/~nmchenry1/index_maps.html,3901.600098,719,367
/~nmchenry1/index_maps.html,3918.600098,718,366
/~nmchenry1/index_maps.html,4510.899902,1034,330
/~nmchenry1/index_maps.html,4718.600098,834,415
/~nmchenry1/index_maps.html,4742.899902,1033,330
/~nmchenry1/index_maps.html,4761.899902,1028,330
/~nmchenry1/index_maps.html,4778.899902,973,337
/~nmchenry1/index_maps.html,4792.899902,924,336
/~nmchenry1/index_maps.html,4810.899902,896,333
/~nmchenry1/index_maps.html,4827.899902,884,331
/~nmchenry1/index_maps.html,4843.899902,865,324
/~nmchenry1/index_maps.html,4860.899902,851,317
/~nmchenry1/index_maps.html,4875.899902,842,313
/~nmchenry1/index_maps.html,4893.899902,832,307
/~nmchenry1/index_maps.html,4910.899902,826,303
/~nmchenry1/index_maps.html,4927.899902,824,301
/~nmchenry1/index_maps.html,4934.600098,832,415
/~nmchenry1/index_maps.html,4943.899902,822,300
/~nmchenry1/index_maps.html,4951.600098,792,370
/~nmchenry1/index_maps.html,4959.899902,821,299
/~nmchenry1/index_maps.html,4969.600098,754,318
