page,value,x,y
/~nmchenry1/index_PCP.html,751.3999023,342,39
/~nmchenry1/index_PCP.html,769.3999023,326,106
/~nmchenry1/index_PCP.html,785.3999023,313,171
/~nmchenry1/index_PCP.html,800.3999023,312,185
/~nmchenry1/index_PCP.html,817.3999023,310,201
/~nmchenry1/index_PCP.html,834.3999023,310,203
/~nmchenry1/index_PCP.html,868.3999023,310,204
/~nmchenry1/index_PCP.html,902.3999023,309,204
/~nmchenry1/index_PCP.html,2584.399902,313,215
/~nmchenry1/index_PCP.html,2601.399902,317,225
/~nmchenry1/index_PCP.html,2618.399902,325,264
/~nmchenry1/index_PCP.html,2634.399902,326,299
/~nmchenry1/index_PCP.html,2651.399902,326,311
/~nmchenry1/index_PCP.html,2668.399902,325,324
/~nmchenry1/index_PCP.html,2684.399902,324,327
/~nmchenry1/index_PCP.html,2735.399902,324,328
/~nmchenry1/index_PCP.html,2884.399902,324,327
/~nmchenry1/index_PCP.html,2917.399902,323,326
/~nmchenry1/index_PCP.html,2952.399902,323,325
/~nmchenry1/index_PCP.html,2968.399902,322,323
/~nmchenry1/index_PCP.html,2984.399902,322,321
/~nmchenry1/index_PCP.html,3001.399902,320,316
/~nmchenry1/index_PCP.html,3018.399902,320,309
/~nmchenry1/index_PCP.html,3035.399902,320,303
/~nmchenry1/index_PCP.html,3052.399902,320,301
/~nmchenry1/index_PCP.html,3068.399902,320,296
/~nmchenry1/index_PCP.html,3084.399902,320,294
/~nmchenry1/index_PCP.html,3102.399902,319,291
/~nmchenry1/index_PCP.html,3119.399902,318,288
/~nmchenry1/index_PCP.html,3134.399902,317,284
/~nmchenry1/index_PCP.html,3151.399902,317,283
/~nmchenry1/index_PCP.html,3168.399902,316,282
/~nmchenry1/index_PCP.html,3185.399902,316,281
/~nmchenry1/index_PCP.html,3202.399902,315,281
/~nmchenry1/index_PCP.html,3351.399902,314,281
/~nmchenry1/index_PCP.html,3369.399902,313,280
/~nmchenry1/index_PCP.html,3401.399902,312,280
/~nmchenry1/index_PCP.html,3436.399902,311,280
/~nmchenry1/index_PCP.html,3467.399902,309,280
/~nmchenry1/index_PCP.html,3484.399902,308,280
/~nmchenry1/index_PCP.html,3518.399902,307,280
/~nmchenry1/index_PCP.html,3584.399902,306,280
/~nmchenry1/index_PCP.html,3668.399902,305,280
/~nmchenry1/index_PCP.html,4135.399902,304,279
/~nmchenry1/index_PCP.html,4152.399902,300,277
/~nmchenry1/index_PCP.html,4167.399902,297,275
/~nmchenry1/index_PCP.html,4184.399902,292,271
/~nmchenry1/index_PCP.html,4201.399902,290,269
/~nmchenry1/index_PCP.html,4217.399902,289,269
/~nmchenry1/index_PCP.html,4234.399902,288,267
/~nmchenry1/index_PCP.html,4251.399902,287,266
/~nmchenry1/index_PCP.html,4268.399902,287,265
/~nmchenry1/index_PCP.html,4302.399902,286,265
/~nmchenry1/index_PCP.html,4385.399902,285,265
/~nmchenry1/index_PCP.html,4517.399902,284,265
/~nmchenry1/index_PCP.html,4885.399902,282,264
/~nmchenry1/index_PCP.html,4903.399902,277,261
/~nmchenry1/index_PCP.html,4918.399902,265,255
/~nmchenry1/index_PCP.html,4934.399902,258,250
/~nmchenry1/index_PCP.html,4951.399902,257,250
/~nmchenry1/index_PCP.html,4967.399902,256,248
/~nmchenry1/index_PCP.html,5001.399902,255,248
/~nmchenry1/index_PCP.html,5051.399902,254,248
/~nmchenry1/index_PCP.html,5134.399902,253,248
/~nmchenry1/index_PCP.html,5501.399902,253,247
/~nmchenry1/index_PCP.html,5518.399902,253,245
/~nmchenry1/index_PCP.html,5534.399902,253,227
/~nmchenry1/index_PCP.html,5551.399902,254,207
/~nmchenry1/index_PCP.html,5568.399902,254,198
/~nmchenry1/index_PCP.html,5585.399902,255,187
/~nmchenry1/index_PCP.html,5602.399902,255,182
/~nmchenry1/index_PCP.html,5617.399902,255,180
/~nmchenry1/index_PCP.html,5651.399902,255,179
/~nmchenry1/index_PCP.html,6002.399902,256,179
/~nmchenry1/index_PCP.html,6035.399902,256,181
/~nmchenry1/index_PCP.html,6053.399902,259,187
/~nmchenry1/index_PCP.html,6068.399902,262,193
/~nmchenry1/index_PCP.html,6085.399902,268,211
/~nmchenry1/index_PCP.html,6101.399902,276,229
/~nmchenry1/index_PCP.html,6117.399902,280,239
/~nmchenry1/index_PCP.html,6151.399902,280,240
/~nmchenry1/index_PCP.html,6518.399902,288,235
/~nmchenry1/index_PCP.html,6535.399902,298,226
/~nmchenry1/index_PCP.html,6550.399902,324,205
/~nmchenry1/index_PCP.html,6567.399902,342,190
/~nmchenry1/index_PCP.html,6585.399902,349,185
/~nmchenry1/index_PCP.html,6602.399902,363,175
/~nmchenry1/index_PCP.html,6618.399902,372,168
/~nmchenry1/index_PCP.html,6634.399902,373,167
/~nmchenry1/index_PCP.html,6651.399902,376,165
/~nmchenry1/index_PCP.html,6669.399902,376,164
/~nmchenry1/index_PCP.html,7017.399902,378,163
/~nmchenry1/index_PCP.html,7034.399902,380,161
/~nmchenry1/index_PCP.html,7052.399902,383,157
/~nmchenry1/index_PCP.html,7068.399902,385,153
/~nmchenry1/index_PCP.html,7085.399902,387,151
/~nmchenry1/index_PCP.html,7100.399902,389,148
/~nmchenry1/index_PCP.html,7118.399902,392,146
/~nmchenry1/index_PCP.html,7134.399902,392,144
/~nmchenry1/index_PCP.html,7151.399902,393,143
/~nmchenry1/index_PCP.html,7167.399902,395,142
/~nmchenry1/index_PCP.html,7184.399902,395,141
/~nmchenry1/index_PCP.html,7217.399902,396,141
/~nmchenry1/index_PCP.html,7268.399902,396,140
/~nmchenry1/index_PCP.html,7335.399902,396,139
/~nmchenry1/index_PCP.html,7385.399902,397,139
/~nmchenry1/index_PCP.html,7401.399902,398,139
/~nmchenry1/index_PCP.html,7434.399902,399,138
/~nmchenry1/index_PCP.html,7450.399902,399,137
/~nmchenry1/index_PCP.html,7484.399902,400,137
/~nmchenry1/index_PCP.html,7517.399902,400,136
/~nmchenry1/index_PCP.html,7551.399902,400,135
/~nmchenry1/index_PCP.html,7568.399902,401,135
/~nmchenry1/index_PCP.html,7585.399902,402,134
/~nmchenry1/index_PCP.html,7602.399902,404,132
/~nmchenry1/index_PCP.html,7617.399902,405,130
/~nmchenry1/index_PCP.html,7634.399902,406,128
/~nmchenry1/index_PCP.html,7651.399902,407,128
/~nmchenry1/index_PCP.html,7668.399902,407,127
/~nmchenry1/index_PCP.html,8101.399902,408,127
/~nmchenry1/index_PCP.html,8118.399902,410,123
/~nmchenry1/index_PCP.html,8134.399902,416,116
/~nmchenry1/index_PCP.html,8151.399902,418,114
/~nmchenry1/index_PCP.html,8170.399902,422,107
/~nmchenry1/index_PCP.html,8184.399902,426,103
/~nmchenry1/index_PCP.html,8201.399902,428,101
/~nmchenry1/index_PCP.html,8216.399902,428,99
/~nmchenry1/index_PCP.html,8233.399902,430,98
/~nmchenry1/index_PCP.html,8251.399902,430,97
/~nmchenry1/index_PCP.html,8284.399902,430,96
/~nmchenry1/index_PCP.html,9117.399902,431,97
/~nmchenry1/index_PCP.html,9135.399902,432,107
/~nmchenry1/index_PCP.html,9150.399902,436,121
/~nmchenry1/index_PCP.html,9167.399902,437,128
/~nmchenry1/index_PCP.html,9185.399902,440,140
/~nmchenry1/index_PCP.html,9201.399902,444,155
/~nmchenry1/index_PCP.html,9218.399902,446,165
/~nmchenry1/index_PCP.html,9233.399902,452,184
/~nmchenry1/index_PCP.html,9251.399902,456,195
/~nmchenry1/index_PCP.html,9267.399902,457,199
/~nmchenry1/index_PCP.html,9684.399902,458,201
/~nmchenry1/index_PCP.html,9701.399902,458,203
/~nmchenry1/index_PCP.html,9735.399902,458,204
/~nmchenry1/index_PCP.html,9751.399902,459,205
/~nmchenry1/index_PCP.html,9768.399902,460,208
/~nmchenry1/index_PCP.html,9784.399902,461,209
/~nmchenry1/index_PCP.html,9801.399902,462,213
/~nmchenry1/index_PCP.html,9817.399902,463,216
/~nmchenry1/index_PCP.html,9834.399902,464,217
/~nmchenry1/index_PCP.html,9852.399902,464,219
/~nmchenry1/index_PCP.html,9867.399902,464,222
/~nmchenry1/index_PCP.html,9884.399902,465,224
/~nmchenry1/index_PCP.html,9901.399902,465,226
/~nmchenry1/index_PCP.html,9917.399902,465,228
/~nmchenry1/index_PCP.html,9934.399902,465,231
/~nmchenry1/index_PCP.html,9951.399902,464,232
/~nmchenry1/index_PCP.html,9967.399902,464,234
/~nmchenry1/index_PCP.html,9983.399902,463,235
/~nmchenry1/index_PCP.html,10286.3999,462,235
/~nmchenry1/index_PCP.html,10300.3999,462,237
/~nmchenry1/index_PCP.html,10318.3999,460,242
/~nmchenry1/index_PCP.html,10334.3999,457,248
/~nmchenry1/index_PCP.html,10350.3999,456,252
/~nmchenry1/index_PCP.html,10368.3999,452,265
/~nmchenry1/index_PCP.html,10384.3999,450,275
/~nmchenry1/index_PCP.html,10400.3999,449,277
/~nmchenry1/index_PCP.html,10417.3999,448,280
/~nmchenry1/index_PCP.html,11083.3999,448,285
/~nmchenry1/index_PCP.html,11100.3999,448,295
/~nmchenry1/index_PCP.html,11117.3999,452,306
/~nmchenry1/index_PCP.html,11134.3999,453,311
/~nmchenry1/index_PCP.html,11151.3999,455,317
/~nmchenry1/index_PCP.html,11168.3999,456,319
/~nmchenry1/index_PCP.html,12101.3999,456,320
/~nmchenry1/index_PCP.html,12135.3999,458,325
/~nmchenry1/index_PCP.html,12150.3999,459,327
/~nmchenry1/index_PCP.html,12167.3999,460,328
/~nmchenry1/index_PCP.html,12184.3999,460,329
/~nmchenry1/index_PCP.html,12200.3999,460,330
/~nmchenry1/index_PCP.html,12217.3999,461,331
/~nmchenry1/index_PCP.html,13019.3999,462,335
/~nmchenry1/index_PCP.html,13033.3999,462,336
/~nmchenry1/index_PCP.html,13051.3999,463,339
/~nmchenry1/index_PCP.html,13067.3999,464,342
/~nmchenry1/index_PCP.html,13084.3999,464,344
/~nmchenry1/index_PCP.html,13101.3999,464,345
/~nmchenry1/index_PCP.html,13117.3999,466,347
/~nmchenry1/index_PCP.html,13134.3999,467,349
/~nmchenry1/index_PCP.html,13151.3999,468,350
/~nmchenry1/index_PCP.html,13167.3999,468,351
/~nmchenry1/index_PCP.html,13767.3999,468,352
/~nmchenry1/index_PCP.html,13783.3999,471,359
/~nmchenry1/index_PCP.html,13801.3999,474,365
/~nmchenry1/index_PCP.html,13818.3999,477,371
/~nmchenry1/index_PCP.html,13834.3999,479,373
/~nmchenry1/index_PCP.html,13851.3999,482,379
/~nmchenry1/index_PCP.html,13868.3999,485,385
/~nmchenry1/index_PCP.html,13884.3999,487,388
/~nmchenry1/index_PCP.html,13900.3999,488,391
/~nmchenry1/index_PCP.html,13917.3999,488,392
/~nmchenry1/index_PCP.html,13951.3999,488,393
/~nmchenry1/index_PCP.html,14684.3999,488,394
/~nmchenry1/index_PCP.html,14700.3999,488,395
/~nmchenry1/index_PCP.html,15100.3999,487,398
/~nmchenry1/index_PCP.html,15117.3999,485,399
/~nmchenry1/index_PCP.html,15135.3999,483,402
/~nmchenry1/index_PCP.html,15150.3999,481,404
/~nmchenry1/index_PCP.html,15167.3999,480,405
/~nmchenry1/index_PCP.html,15183.3999,479,407
/~nmchenry1/index_PCP.html,15200.3999,478,408
/~nmchenry1/index_PCP.html,15218.3999,477,409
/~nmchenry1/index_PCP.html,15234.3999,476,409
/~nmchenry1/index_PCP.html,15252.3999,476,410
/~nmchenry1/index_PCP.html,15268.3999,476,411
/~nmchenry1/index_PCP.html,15284.3999,475,411
/~nmchenry1/index_PCP.html,15301.3999,473,412
/~nmchenry1/index_PCP.html,15318.3999,470,413
/~nmchenry1/index_PCP.html,15335.3999,469,414
/~nmchenry1/index_PCP.html,15352.3999,465,414
/~nmchenry1/index_PCP.html,15368.3999,463,414
/~nmchenry1/index_PCP.html,15384.3999,460,414
/~nmchenry1/index_PCP.html,15417.3999,458,413
/~nmchenry1/index_PCP.html,15434.3999,457,413
/~nmchenry1/index_PCP.html,15500.3999,456,413
/~nmchenry1/index_PCP.html,15834.3999,456,418
/~nmchenry1/index_PCP.html,15850.3999,455,422
/~nmchenry1/index_PCP.html,15868.3999,454,431
/~nmchenry1/index_PCP.html,15883.3999,452,435
/~nmchenry1/index_PCP.html,15900.3999,452,438
/~nmchenry1/index_PCP.html,15917.3999,451,443
/~nmchenry1/index_PCP.html,15933.3999,448,447
/~nmchenry1/index_PCP.html,15951.3999,445,452
/~nmchenry1/index_PCP.html,15968.3999,444,455
/~nmchenry1/index_PCP.html,15984.3999,440,458
/~nmchenry1/index_PCP.html,16001.3999,436,461
/~nmchenry1/index_PCP.html,16017.3999,435,462
/~nmchenry1/index_PCP.html,16033.3999,430,463
