page,value,x,y
/~nmchenry1/index_tree.html,638.8999023,222,96
/~nmchenry1/index_tree.html,655.8999023,239,132
/~nmchenry1/index_tree.html,688.8999023,283,230
/~nmchenry1/index_tree.html,704.8999023,288,243
/~nmchenry1/index_tree.html,721.8999023,297,262
/~nmchenry1/index_tree.html,737.8999023,300,271
/~nmchenry1/index_tree.html,754.8999023,300,272
/~nmchenry1/index_tree.html,787.8999023,300,273
/~nmchenry1/index_tree.html,1054.899902,300,274
/~nmchenry1/index_tree.html,1071.899902,298,286
/~nmchenry1/index_tree.html,1087.899902,293,303
/~nmchenry1/index_tree.html,1104.899902,291,311
/~nmchenry1/index_tree.html,1121.899902,288,323
/~nmchenry1/index_tree.html,1137.899902,285,331
/~nmchenry1/index_tree.html,1154.899902,285,334
/~nmchenry1/index_tree.html,1170.899902,285,336
/~nmchenry1/index_tree.html,1188.899902,285,338
/~nmchenry1/index_tree.html,1204.899902,285,339
/~nmchenry1/index_tree.html,1305.899902,285,340
/~nmchenry1/index_tree.html,1370.899902,285,341
/~nmchenry1/index_tree.html,1421.899902,286,342
/~nmchenry1/index_tree.html,1439.899902,287,342
/~nmchenry1/index_tree.html,1455.899902,288,343
/~nmchenry1/index_tree.html,1471.899902,290,344
/~nmchenry1/index_tree.html,1503.899902,292,345
/~nmchenry1/index_tree.html,1521.899902,292,347
/~nmchenry1/index_tree.html,1537.899902,294,348
/~nmchenry1/index_tree.html,1553.899902,295,350
/~nmchenry1/index_tree.html,1571.899902,296,352
/~nmchenry1/index_tree.html,1588.899902,298,355
/~nmchenry1/index_tree.html,1621.899902,298,356
/~nmchenry1/index_tree.html,1672.899902,298,357
/~nmchenry1/index_tree.html,1687.899902,298,358
/~nmchenry1/index_tree.html,1756.899902,298,359
/~nmchenry1/index_tree.html,1821.899902,299,359
/~nmchenry1/index_tree.html,1837.899902,299,360
/~nmchenry1/index_tree.html,1854.899902,299,361
/~nmchenry1/index_tree.html,1871.899902,299,362
/~nmchenry1/index_tree.html,3154.899902,301,362
/~nmchenry1/index_tree.html,3170.899902,305,361
/~nmchenry1/index_tree.html,3187.899902,321,360
/~nmchenry1/index_tree.html,3204.899902,350,370
/~nmchenry1/index_tree.html,3219.899902,388,399
/~nmchenry1/index_tree.html,3238.899902,408,419
/~nmchenry1/index_tree.html,3253.899902,441,463
/~nmchenry1/index_tree.html,3270.899902,452,479
/~nmchenry1/index_tree.html,3553.899902,452,481
/~nmchenry1/index_tree.html,3570.899902,452,483
/~nmchenry1/index_tree.html,3587.899902,453,487
/~nmchenry1/index_tree.html,3603.899902,456,491
/~nmchenry1/index_tree.html,3636.899902,460,495
/~nmchenry1/index_tree.html,3653.899902,466,500
/~nmchenry1/index_tree.html,3669.899902,471,505
/~nmchenry1/index_tree.html,3686.899902,484,520
/~nmchenry1/index_tree.html,3703.899902,490,527
/~nmchenry1/index_tree.html,3937.899902,489,529
/~nmchenry1/index_tree.html,3953.899902,487,537
/~nmchenry1/index_tree.html,3970.899902,482,558
/~nmchenry1/index_tree.html,3987.899902,480,575
/~nmchenry1/index_tree.html,4004.899902,479,591
/~nmchenry1/index_tree.html,4020.899902,479,595
/~nmchenry1/index_tree.html,4037.899902,479,599
/~nmchenry1/index_tree.html,4053.899902,480,601
/~nmchenry1/index_tree.html,4071.899902,480,603
/~nmchenry1/index_tree.html,4136.899902,480,604
/~nmchenry1/index_tree.html,4170.899902,480,605
/~nmchenry1/index_tree.html,4203.899902,481,605
/~nmchenry1/index_tree.html,4238.899902,483,607
/~nmchenry1/index_tree.html,4270.899902,484,611
/~nmchenry1/index_tree.html,4287.899902,486,614
/~nmchenry1/index_tree.html,4303.899902,486,615
/~nmchenry1/index_tree.html,4320.899902,487,615
/~nmchenry1/index_tree.html,4337.899902,487,616
/~nmchenry1/index_tree.html,4353.899902,487,617
/~nmchenry1/index_tree.html,4369.899902,487,619
/~nmchenry1/index_tree.html,4385.899902,488,622
/~nmchenry1/index_tree.html,4404.899902,488,624
/~nmchenry1/index_tree.html,4420.899902,488,626
/~nmchenry1/index_tree.html,4436.899902,488,627
/~nmchenry1/index_tree.html,4486.899902,488,628
/~nmchenry1/index_tree.html,4621.899902,488,629
/~nmchenry1/index_tree.html,4687.899902,488,630
/~nmchenry1/index_tree.html,4786.899902,487,630
/~nmchenry1/index_tree.html,4820.899902,485,630
/~nmchenry1/index_tree.html,4836.899902,484,630
/~nmchenry1/index_tree.html,4854.899902,483,631
/~nmchenry1/index_tree.html,4870.899902,482,631
/~nmchenry1/index_tree.html,4886.899902,481,631
/~nmchenry1/index_tree.html,5003.899902,480,631
/~nmchenry1/index_tree.html,6636.899902,479,627
/~nmchenry1/index_tree.html,6653.899902,475,610
/~nmchenry1/index_tree.html,6671.899902,459,540
/~nmchenry1/index_tree.html,6686.899902,449,495
/~nmchenry1/index_tree.html,6703.899902,447,477
/~nmchenry1/index_tree.html,6719.899902,447,471
/~nmchenry1/index_tree.html,6736.899902,447,457
/~nmchenry1/index_tree.html,6754.899902,452,435
/~nmchenry1/index_tree.html,6769.899902,456,422
/~nmchenry1/index_tree.html,6804.899902,457,413
/~nmchenry1/index_tree.html,7119.899902,458,412
/~nmchenry1/index_tree.html,7137.899902,464,401
/~nmchenry1/index_tree.html,7153.899902,470,387
/~nmchenry1/index_tree.html,7170.899902,472,380
