page,value,x,y
/~nmchenry1/index_tree.html,86.60009766,496,287
/~nmchenry1/index_tree.html,261.6999512,198,71
/~nmchenry1/index_tree.html,269.3000488,190,74
/~nmchenry1/index_tree.html,279.6999512,198,75
/~nmchenry1/index_tree.html,285.3000488,189,76
/~nmchenry1/index_tree.html,294.1000977,218,77
/~nmchenry1/index_tree.html,295.6999512,201,83
/~nmchenry1/index_tree.html,301.3000488,189,79
/~nmchenry1/index_tree.html,311.6999512,204,89
/~nmchenry1/index_tree.html,327.1000977,266,100
/~nmchenry1/index_tree.html,329.6999512,208,98
/~nmchenry1/index_tree.html,336.3000488,202,101
/~nmchenry1/index_tree.html,345.1000977,295,114
/~nmchenry1/index_tree.html,345.6999512,213,106
/~nmchenry1/index_tree.html,352.3000488,215,117
/~nmchenry1/index_tree.html,360.1000977,325,131
/~nmchenry1/index_tree.html,362.6999512,218,113
/~nmchenry1/index_tree.html,369.3000488,230,132
/~nmchenry1/index_tree.html,376.1000977,359,150
/~nmchenry1/index_tree.html,378.6999512,223,122
/~nmchenry1/index_tree.html,386.3000488,243,151
/~nmchenry1/index_tree.html,393.6999512,229,135
/~nmchenry1/index_tree.html,394.1000977,383,164
/~nmchenry1/index_tree.html,401.3000488,257,170
/~nmchenry1/index_tree.html,411.1000977,406,177
/~nmchenry1/index_tree.html,411.6999512,236,146
/~nmchenry1/index_tree.html,419.3000488,278,201
/~nmchenry1/index_tree.html,427.1000977,425,187
/~nmchenry1/index_tree.html,428.6999512,241,160
/~nmchenry1/index_tree.html,435.3000488,286,212
/~nmchenry1/index_tree.html,443.1000977,440,195
/~nmchenry1/index_tree.html,444.6999512,248,180
/~nmchenry1/index_tree.html,451.3000488,319,260
/~nmchenry1/index_tree.html,460.1000977,453,203
/~nmchenry1/index_tree.html,460.6999512,252,192
/~nmchenry1/index_tree.html,469.3000488,339,289
/~nmchenry1/index_tree.html,477.1000977,464,211
/~nmchenry1/index_tree.html,477.6999512,255,206
/~nmchenry1/index_tree.html,485.3000488,353,309
/~nmchenry1/index_tree.html,494.1000977,475,221
/~nmchenry1/index_tree.html,494.6999512,257,221
/~nmchenry1/index_tree.html,501.3000488,362,323
/~nmchenry1/index_tree.html,510.1000977,480,227
/~nmchenry1/index_tree.html,510.6999512,258,239
/~nmchenry1/index_tree.html,518.1999512,202,67
/~nmchenry1/index_tree.html,519.3000488,366,329
/~nmchenry1/index_tree.html,527.1000977,486,233
/~nmchenry1/index_tree.html,527.6999512,260,256
/~nmchenry1/index_tree.html,534.3000488,369,334
/~nmchenry1/index_tree.html,544.1000977,491,241
/~nmchenry1/index_tree.html,545.6999512,262,271
/~nmchenry1/index_tree.html,552.3000488,371,336
/~nmchenry1/index_tree.html,553.6000977,209,74
/~nmchenry1/index_tree.html,560.1000977,496,250
/~nmchenry1/index_tree.html,560.6999512,262,284
/~nmchenry1/index_tree.html,566.1999512,203,66
/~nmchenry1/index_tree.html,568.3000488,373,338
/~nmchenry1/index_tree.html,569.6000977,215,76
/~nmchenry1/index_tree.html,576.1000977,505,264
/~nmchenry1/index_tree.html,584.1999512,204,65
/~nmchenry1/index_tree.html,585.3000488,375,340
/~nmchenry1/index_tree.html,585.6000977,250,93
/~nmchenry1/index_tree.html,594.1000977,516,276
/~nmchenry1/index_tree.html,594.6999512,264,308
/~nmchenry1/index_tree.html,599.1999512,206,63
/~nmchenry1/index_tree.html,601.3000488,375,341
/~nmchenry1/index_tree.html,601.6000977,312,117
/~nmchenry1/index_tree.html,611.1000977,523,289
/~nmchenry1/index_tree.html,612.6999512,263,315
/~nmchenry1/index_tree.html,616.1999512,208,62
/~nmchenry1/index_tree.html,618.6000977,394,151
/~nmchenry1/index_tree.html,619.3000488,375,342
/~nmchenry1/index_tree.html,627.1000977,532,304
/~nmchenry1/index_tree.html,628.6999512,262,325
/~nmchenry1/index_tree.html,632.1999512,210,60
/~nmchenry1/index_tree.html,634.3000488,375,343
/~nmchenry1/index_tree.html,635.6000977,449,170
/~nmchenry1/index_tree.html,644.1000977,541,319
/~nmchenry1/index_tree.html,644.6999512,262,332
/~nmchenry1/index_tree.html,652.3000488,376,343
/~nmchenry1/index_tree.html,653.6000977,520,194
/~nmchenry1/index_tree.html,660.1000977,550,338
/~nmchenry1/index_tree.html,661.6999512,262,335
/~nmchenry1/index_tree.html,669.6000977,597,231
/~nmchenry1/index_tree.html,677.1000977,559,356
/~nmchenry1/index_tree.html,677.6999512,261,339
/~nmchenry1/index_tree.html,685.6000977,677,267
/~nmchenry1/index_tree.html,694.1000977,572,380
/~nmchenry1/index_tree.html,694.6999512,261,342
/~nmchenry1/index_tree.html,701.6000977,744,302
/~nmchenry1/index_tree.html,710.1000977,581,394
/~nmchenry1/index_tree.html,712.6999512,262,345
/~nmchenry1/index_tree.html,718.6000977,778,322
/~nmchenry1/index_tree.html,728.1000977,590,406
/~nmchenry1/index_tree.html,729.6999512,262,348
/~nmchenry1/index_tree.html,734.6000977,790,332
/~nmchenry1/index_tree.html,744.1000977,598,415
/~nmchenry1/index_tree.html,745.6999512,262,353
/~nmchenry1/index_tree.html,753.6000977,792,334
/~nmchenry1/index_tree.html,760.1000977,605,426
/~nmchenry1/index_tree.html,761.6999512,262,356
/~nmchenry1/index_tree.html,770.6000977,791,334
/~nmchenry1/index_tree.html,778.1000977,609,433
/~nmchenry1/index_tree.html,779.6999512,262,360
/~nmchenry1/index_tree.html,784.1999512,210,64
/~nmchenry1/index_tree.html,785.6000977,788,338
/~nmchenry1/index_tree.html,794.6999512,262,363
/~nmchenry1/index_tree.html,795.1000977,616,441
/~nmchenry1/index_tree.html,799.1999512,212,77
/~nmchenry1/index_tree.html,802.6000977,767,351
/~nmchenry1/index_tree.html,811.1000977,619,446
/~nmchenry1/index_tree.html,811.6999512,262,366
/~nmchenry1/index_tree.html,817.1999512,219,93
