page,value,x,y
/~nmchenry1/index_charts.html,71.60009766,846,334
/~nmchenry1/index_charts.html,80.60009766,315,404
/~nmchenry1/index_charts.html,116.3000488,405,241
/~nmchenry1/index_charts.html,148.6000977,329,401
/~nmchenry1/index_charts.html,153.6000977,846,336
/~nmchenry1/index_charts.html,169.3000488,407,239
/~nmchenry1/index_charts.html,169.6000977,846,345
/~nmchenry1/index_charts.html,175.6000977,329,400
/~nmchenry1/index_charts.html,186.6000977,850,359
/~nmchenry1/index_charts.html,191.3000488,407,237
/~nmchenry1/index_charts.html,202.6000977,852,373
/~nmchenry1/index_charts.html,214.3000488,405,233
/~nmchenry1/index_charts.html,219.6000977,856,383
/~nmchenry1/index_charts.html,220.6000977,329,399
/~nmchenry1/index_charts.html,236.6000977,330,399
/~nmchenry1/index_charts.html,236.6000977,858,392
/~nmchenry1/index_charts.html,251.6000977,331,399
/~nmchenry1/index_charts.html,253.6000977,861,403
/~nmchenry1/index_charts.html,264.3000488,405,232
/~nmchenry1/index_charts.html,269.6000977,331,398
/~nmchenry1/index_charts.html,270.6000977,866,423
/~nmchenry1/index_charts.html,279.3000488,404,232
/~nmchenry1/index_charts.html,285.6000977,874,446
/~nmchenry1/index_charts.html,286.6000977,332,397
/~nmchenry1/index_charts.html,297.3000488,403,230
/~nmchenry1/index_charts.html,302.6000977,883,473
/~nmchenry1/index_charts.html,314.3000488,402,229
/~nmchenry1/index_charts.html,319.6000977,902,517
/~nmchenry1/index_charts.html,334.6000977,333,396
/~nmchenry1/index_charts.html,336.6000977,919,542
/~nmchenry1/index_charts.html,346.3000488,410,229
/~nmchenry1/index_charts.html,352.6000977,335,396
/~nmchenry1/index_charts.html,353.6000977,936,552
/~nmchenry1/index_charts.html,363.3000488,436,229
/~nmchenry1/index_charts.html,369.6000977,338,394
/~nmchenry1/index_charts.html,370.6000977,950,556
/~nmchenry1/index_charts.html,379.3000488,466,232
/~nmchenry1/index_charts.html,384.6000977,340,393
/~nmchenry1/index_charts.html,385.6000977,952,557
/~nmchenry1/index_charts.html,397.3000488,480,235
/~nmchenry1/index_charts.html,401.6000977,341,392
/~nmchenry1/index_charts.html,403.6000977,953,557
/~nmchenry1/index_charts.html,414.3000488,487,239
/~nmchenry1/index_charts.html,419.6000977,342,392
/~nmchenry1/index_charts.html,420.6000977,955,558
/~nmchenry1/index_charts.html,430.3000488,497,242
/~nmchenry1/index_charts.html,434.6000977,343,390
/~nmchenry1/index_charts.html,436.6000977,957,558
