page,value,x,y
/~nmchenry1/index_maps.html,29,131,28
/~nmchenry1/index_maps.html,86,207,69
/~nmchenry1/index_maps.html,88.10009766,542,618
/~nmchenry1/index_maps.html,88.19995117,343,355
/~nmchenry1/index_maps.html,88.30004883,55,422
/~nmchenry1/index_maps.html,103.1999512,352,360
/~nmchenry1/index_maps.html,105.3000488,85,426
/~nmchenry1/index_maps.html,108.1999512,358,366
/~nmchenry1/index_maps.html,117.1999512,367,373
/~nmchenry1/index_maps.html,125.1000977,573,625
/~nmchenry1/index_maps.html,132.1000977,574,625
/~nmchenry1/index_maps.html,136.1999512,386,387
/~nmchenry1/index_maps.html,148.1000977,576,625
/~nmchenry1/index_maps.html,149.1999512,391,391
/~nmchenry1/index_maps.html,636,777,600
/~nmchenry1/index_maps.html,655.1999512,510,463
/~nmchenry1/index_maps.html,682,211,45
/~nmchenry1/index_maps.html,693.3000488,507,472
/~nmchenry1/index_maps.html,694,879,159
/~nmchenry1/index_maps.html,700,1015,206
/~nmchenry1/index_maps.html,700.1000977,610,611
/~nmchenry1/index_maps.html,706.5,173,245
/~nmchenry1/index_maps.html,718,1141,259
/~nmchenry1/index_maps.html,718.5,180,254
/~nmchenry1/index_maps.html,736.5,195,269
/~nmchenry1/index_maps.html,750.3000488,362,167
/~nmchenry1/index_maps.html,774.1000977,95,2
/~nmchenry1/index_maps.html,785,779,600
/~nmchenry1/index_maps.html,790.1000977,97,8
/~nmchenry1/index_maps.html,798.3000488,515,471
/~nmchenry1/index_maps.html,802,780,601
/~nmchenry1/index_maps.html,806,1429,401
/~nmchenry1/index_maps.html,807.1000977,97,13
/~nmchenry1/index_maps.html,811,1429,402
/~nmchenry1/index_maps.html,815.3000488,519,470
/~nmchenry1/index_maps.html,828,1429,403
/~nmchenry1/index_maps.html,830.5,320,364
/~nmchenry1/index_maps.html,831.3000488,519,468
/~nmchenry1/index_maps.html,832.1999512,510,460
/~nmchenry1/index_maps.html,835.5,329,371
/~nmchenry1/index_maps.html,846.3000488,520,468
/~nmchenry1/index_maps.html,852,798,605
/~nmchenry1/index_maps.html,853.5,344,382
/~nmchenry1/index_maps.html,861.3000488,364,140
/~nmchenry1/index_maps.html,864.3000488,521,468
/~nmchenry1/index_maps.html,866.1999512,493,429
/~nmchenry1/index_maps.html,871,802,603
/~nmchenry1/index_maps.html,873.1000977,98,47
/~nmchenry1/index_maps.html,883.1999512,483,415
/~nmchenry1/index_maps.html,887,809,595
/~nmchenry1/index_maps.html,889.1000977,98,52
/~nmchenry1/index_maps.html,900.1999512,474,399
/~nmchenry1/index_maps.html,904,813,589
/~nmchenry1/index_maps.html,906.1000977,98,54
/~nmchenry1/index_maps.html,910,1427,403
/~nmchenry1/index_maps.html,913.3000488,512,469
/~nmchenry1/index_maps.html,917.1999512,460,378
/~nmchenry1/index_maps.html,921,816,585
/~nmchenry1/index_maps.html,923.1000977,97,59
/~nmchenry1/index_maps.html,928,1424,402
/~nmchenry1/index_maps.html,929.3000488,504,467
/~nmchenry1/index_maps.html,933.1999512,424,341
