page,value,x,y
/~nmchenry1/index_PCP.html,214.3999023,390,29
/~nmchenry1/index_PCP.html,312.1000977,347,255
/~nmchenry1/index_PCP.html,322.3999023,391,51
/~nmchenry1/index_PCP.html,337.3000488,891,571
/~nmchenry1/index_PCP.html,358.1000977,345,261
/~nmchenry1/index_PCP.html,358.3999023,391,63
/~nmchenry1/index_PCP.html,365.3999023,391,66
/~nmchenry1/index_PCP.html,366.1000977,345,262
/~nmchenry1/index_PCP.html,379.1000977,344,263
/~nmchenry1/index_PCP.html,387.3999023,389,76
/~nmchenry1/index_PCP.html,395.1000977,344,264
/~nmchenry1/index_PCP.html,405.3999023,389,92
/~nmchenry1/index_PCP.html,420.3999023,389,97
/~nmchenry1/index_PCP.html,437.3999023,388,116
/~nmchenry1/index_PCP.html,445.1000977,344,265
/~nmchenry1/index_PCP.html,454.3999023,388,125
/~nmchenry1/index_PCP.html,471.3999023,387,138
/~nmchenry1/index_PCP.html,479.1000977,344,266
/~nmchenry1/index_PCP.html,486.3999023,386,150
/~nmchenry1/index_PCP.html,504.3999023,384,160
/~nmchenry1/index_PCP.html,521.3999023,383,168
/~nmchenry1/index_PCP.html,537.3999023,381,179
/~nmchenry1/index_PCP.html,553.3999023,380,191
/~nmchenry1/index_PCP.html,570.3999023,379,202
/~nmchenry1/index_PCP.html,586.3999023,378,215
/~nmchenry1/index_PCP.html,603.3999023,377,227
/~nmchenry1/index_PCP.html,619.3999023,376,241
/~nmchenry1/index_PCP.html,636.3999023,375,256
/~nmchenry1/index_PCP.html,655.3999023,375,263
/~nmchenry1/index_PCP.html,662.8000488,397,34
/~nmchenry1/index_PCP.html,669.3999023,375,270
/~nmchenry1/index_PCP.html,678.8000488,409,41
/~nmchenry1/index_PCP.html,681.3000488,891,572
/~nmchenry1/index_PCP.html,687.3999023,375,276
/~nmchenry1/index_PCP.html,695.8000488,423,52
/~nmchenry1/index_PCP.html,698.3000488,886,572
/~nmchenry1/index_PCP.html,705.3999023,375,281
/~nmchenry1/index_PCP.html,711.8000488,441,66
/~nmchenry1/index_PCP.html,715.3000488,876,566
/~nmchenry1/index_PCP.html,720.3999023,375,288
/~nmchenry1/index_PCP.html,729.8000488,472,92
/~nmchenry1/index_PCP.html,732.3000488,866,561
/~nmchenry1/index_PCP.html,736.3999023,375,294
/~nmchenry1/index_PCP.html,746.8000488,517,136
/~nmchenry1/index_PCP.html,749.3000488,860,558
/~nmchenry1/index_PCP.html,753.3999023,375,300
/~nmchenry1/index_PCP.html,761.8000488,539,164
/~nmchenry1/index_PCP.html,765.3000488,856,554
/~nmchenry1/index_PCP.html,769.3999023,375,304
/~nmchenry1/index_PCP.html,778.8000488,557,190
/~nmchenry1/index_PCP.html,781.3000488,851,551
