page,value,x,y
/~nmchenry1/index_charts.html,400,170,140
/~nmchenry1/index_charts.html,416,170,141
/~nmchenry1/index_charts.html,446,216,29
/~nmchenry1/index_charts.html,448,171,148
/~nmchenry1/index_charts.html,464,178,160
/~nmchenry1/index_charts.html,482,184,171
/~nmchenry1/index_charts.html,496,218,30
/~nmchenry1/index_charts.html,498,193,185
/~nmchenry1/index_charts.html,512,221,32
/~nmchenry1/index_charts.html,516,208,204
/~nmchenry1/index_charts.html,528,225,34
/~nmchenry1/index_charts.html,530,161,135
/~nmchenry1/index_charts.html,530,161,135
/~nmchenry1/index_charts.html,530,224,225
/~nmchenry1/index_charts.html,540,167,138
/~nmchenry1/index_charts.html,540,167,138
/~nmchenry1/index_charts.html,546,228,38
/~nmchenry1/index_charts.html,548,240,245
/~nmchenry1/index_charts.html,554,175,142
/~nmchenry1/index_charts.html,554,175,142
/~nmchenry1/index_charts.html,560,169,141
/~nmchenry1/index_charts.html,562,231,41
/~nmchenry1/index_charts.html,564,253,260
/~nmchenry1/index_charts.html,568,190,152
/~nmchenry1/index_charts.html,568,190,152
/~nmchenry1/index_charts.html,576,172,144
/~nmchenry1/index_charts.html,580,237,46
/~nmchenry1/index_charts.html,582,266,271
/~nmchenry1/index_charts.html,584,210,168
/~nmchenry1/index_charts.html,584,210,168
/~nmchenry1/index_charts.html,592,179,151
/~nmchenry1/index_charts.html,596,244,51
/~nmchenry1/index_charts.html,598,276,277
/~nmchenry1/index_charts.html,600,232,187
/~nmchenry1/index_charts.html,600,232,187
/~nmchenry1/index_charts.html,608,199,173
/~nmchenry1/index_charts.html,612,251,56
/~nmchenry1/index_charts.html,616,284,282
/~nmchenry1/index_charts.html,624,244,200
/~nmchenry1/index_charts.html,624,244,200
/~nmchenry1/index_charts.html,626,221,194
/~nmchenry1/index_charts.html,628,260,61
/~nmchenry1/index_charts.html,632,291,288
/~nmchenry1/index_charts.html,640,267,234
/~nmchenry1/index_charts.html,640,267,234
/~nmchenry1/index_charts.html,642,245,217
/~nmchenry1/index_charts.html,646,270,70
/~nmchenry1/index_charts.html,648,298,294
/~nmchenry1/index_charts.html,660,266,236
/~nmchenry1/index_charts.html,662,282,91
/~nmchenry1/index_charts.html,664,310,305
/~nmchenry1/index_charts.html,670,238,35
/~nmchenry1/index_charts.html,670,278,266
/~nmchenry1/index_charts.html,670,278,266
/~nmchenry1/index_charts.html,676,279,247
/~nmchenry1/index_charts.html,680,238,40
/~nmchenry1/index_charts.html,680,287,102
/~nmchenry1/index_charts.html,682,317,311
/~nmchenry1/index_charts.html,686,283,282
/~nmchenry1/index_charts.html,686,283,282
/~nmchenry1/index_charts.html,692,295,259
/~nmchenry1/index_charts.html,696,290,110
/~nmchenry1/index_charts.html,698,325,317
/~nmchenry1/index_charts.html,702,285,291
/~nmchenry1/index_charts.html,702,285,291
/~nmchenry1/index_charts.html,708,303,266
/~nmchenry1/index_charts.html,712,291,118
/~nmchenry1/index_charts.html,716,328,319
/~nmchenry1/index_charts.html,718,286,300
/~nmchenry1/index_charts.html,718,286,300
/~nmchenry1/index_charts.html,726,312,273
/~nmchenry1/index_charts.html,728,291,127
/~nmchenry1/index_charts.html,742,287,306
/~nmchenry1/index_charts.html,742,287,306
/~nmchenry1/index_charts.html,742,317,278
/~nmchenry1/index_charts.html,746,290,136
/~nmchenry1/index_charts.html,750,339,323
/~nmchenry1/index_charts.html,754,287,308
/~nmchenry1/index_charts.html,754,287,308
/~nmchenry1/index_charts.html,758,321,282
/~nmchenry1/index_charts.html,762,287,145
