page,value,x,y
/~nmchenry1/index_maps.html,8,53,193
/~nmchenry1/index_maps.html,60,54,192
/~nmchenry1/index_maps.html,80,44,178
/~nmchenry1/index_maps.html,610,48,191
/~nmchenry1/index_maps.html,976,44,179
/~nmchenry1/index_maps.html,1204,359,191
/~nmchenry1/index_maps.html,1246,366,197
/~nmchenry1/index_maps.html,1258,369,199
/~nmchenry1/index_maps.html,1274,375,200
/~nmchenry1/index_maps.html,1292,383,203
/~nmchenry1/index_maps.html,1306,396,208
/~nmchenry1/index_maps.html,1342,414,214
/~nmchenry1/index_maps.html,1350,453,226
/~nmchenry1/index_maps.html,1370,472,234
/~nmchenry1/index_maps.html,1380,539,262
/~nmchenry1/index_maps.html,1388,43,293
/~nmchenry1/index_maps.html,1394,569,275
/~nmchenry1/index_maps.html,1408,626,298
/~nmchenry1/index_maps.html,1446,724,332
/~nmchenry1/index_maps.html,1454,49,278
/~nmchenry1/index_maps.html,1454,772,346
/~nmchenry1/index_maps.html,1470,787,350
/~nmchenry1/index_maps.html,1478,50,277
/~nmchenry1/index_maps.html,1490,790,352
/~nmchenry1/index_maps.html,1496,460,143
/~nmchenry1/index_maps.html,1496,460,143
/~nmchenry1/index_maps.html,1498,51,276
/~nmchenry1/index_maps.html,1506,791,352
/~nmchenry1/index_maps.html,1510,51,276
/~nmchenry1/index_maps.html,1522,791,353
/~nmchenry1/index_maps.html,1524,153,204
/~nmchenry1/index_maps.html,1538,790,353
/~nmchenry1/index_maps.html,1554,283,308
/~nmchenry1/index_maps.html,1556,51,276
/~nmchenry1/index_maps.html,1556,789,353
/~nmchenry1/index_maps.html,1572,410,254
/~nmchenry1/index_maps.html,1572,785,353
/~nmchenry1/index_maps.html,1574,53,276
/~nmchenry1/index_maps.html,1582,410,255
/~nmchenry1/index_maps.html,1590,57,278
/~nmchenry1/index_maps.html,1590,783,353
/~nmchenry1/index_maps.html,1606,780,353
/~nmchenry1/index_maps.html,1610,410,255
/~nmchenry1/index_maps.html,1612,63,281
/~nmchenry1/index_maps.html,1626,411,256
/~nmchenry1/index_maps.html,1626,777,353
/~nmchenry1/index_maps.html,1638,774,353
/~nmchenry1/index_maps.html,1642,68,285
/~nmchenry1/index_maps.html,1644,415,256
/~nmchenry1/index_maps.html,1658,69,285
/~nmchenry1/index_maps.html,1658,772,353
/~nmchenry1/index_maps.html,1668,418,256
/~nmchenry1/index_maps.html,1672,769,352
/~nmchenry1/index_maps.html,1678,70,286
/~nmchenry1/index_maps.html,1688,419,256
/~nmchenry1/index_maps.html,1690,763,350
/~nmchenry1/index_maps.html,1692,70,286
/~nmchenry1/index_maps.html,1706,756,347
/~nmchenry1/index_maps.html,1712,70,286
/~nmchenry1/index_maps.html,1714,438,260
/~nmchenry1/index_maps.html,1722,750,345
/~nmchenry1/index_maps.html,1724,71,287
/~nmchenry1/index_maps.html,1734,460,264
/~nmchenry1/index_maps.html,1740,743,340
/~nmchenry1/index_maps.html,1744,72,287
/~nmchenry1/index_maps.html,1750,474,264
/~nmchenry1/index_maps.html,1756,734,336
/~nmchenry1/index_maps.html,1758,72,287
/~nmchenry1/index_maps.html,1762,501,266
/~nmchenry1/index_maps.html,1772,720,327
/~nmchenry1/index_maps.html,1776,73,288
/~nmchenry1/index_maps.html,1778,533,272
/~nmchenry1/index_maps.html,1788,710,322
/~nmchenry1/index_maps.html,1794,561,277
/~nmchenry1/index_maps.html,1806,700,318
/~nmchenry1/index_maps.html,1808,73,289
/~nmchenry1/index_maps.html,1808,596,284
/~nmchenry1/index_maps.html,1820,634,291
/~nmchenry1/index_maps.html,1822,689,313
/~nmchenry1/index_maps.html,1838,668,298
/~nmchenry1/index_maps.html,1840,675,307
/~nmchenry1/index_maps.html,1856,658,302
/~nmchenry1/index_maps.html,1856,691,302
/~nmchenry1/index_maps.html,1872,640,297
/~nmchenry1/index_maps.html,1872,704,304
/~nmchenry1/index_maps.html,1874,285,308
/~nmchenry1/index_maps.html,1886,290,309
/~nmchenry1/index_maps.html,1890,624,292
/~nmchenry1/index_maps.html,1890,710,304
/~nmchenry1/index_maps.html,1906,608,287
/~nmchenry1/index_maps.html,1906,710,304
/~nmchenry1/index_maps.html,1908,300,311
/~nmchenry1/index_maps.html,1922,593,282
/~nmchenry1/index_maps.html,1922,711,304
/~nmchenry1/index_maps.html,1924,306,312
/~nmchenry1/index_maps.html,1940,582,279
/~nmchenry1/index_maps.html,1940,710,304
