page,value,x,y
/~nmchenry1/index_PCP.html,220,165,176
/~nmchenry1/index_PCP.html,240,146,173
/~nmchenry1/index_PCP.html,258,135,172
/~nmchenry1/index_PCP.html,270,126,170
/~nmchenry1/index_PCP.html,286,109,167
/~nmchenry1/index_PCP.html,300,91,165
/~nmchenry1/index_PCP.html,316,86,165
/~nmchenry1/index_PCP.html,334,76,164
/~nmchenry1/index_PCP.html,350,70,164
/~nmchenry1/index_PCP.html,366,63,164
/~nmchenry1/index_PCP.html,384,58,163
/~nmchenry1/index_PCP.html,400,54,163
/~nmchenry1/index_PCP.html,416,51,162
/~nmchenry1/index_PCP.html,432,360,29
/~nmchenry1/index_PCP.html,434,50,162
/~nmchenry1/index_PCP.html,448,360,30
/~nmchenry1/index_PCP.html,450,49,161
/~nmchenry1/index_PCP.html,464,361,33
/~nmchenry1/index_PCP.html,466,49,161
/~nmchenry1/index_PCP.html,482,361,35
/~nmchenry1/index_PCP.html,498,362,37
/~nmchenry1/index_PCP.html,500,50,161
/~nmchenry1/index_PCP.html,514,362,38
/~nmchenry1/index_PCP.html,518,53,161
/~nmchenry1/index_PCP.html,532,363,40
/~nmchenry1/index_PCP.html,534,57,161
/~nmchenry1/index_PCP.html,548,363,41
/~nmchenry1/index_PCP.html,550,65,161
/~nmchenry1/index_PCP.html,566,75,161
/~nmchenry1/index_PCP.html,566,364,42
/~nmchenry1/index_PCP.html,582,365,44
/~nmchenry1/index_PCP.html,584,88,163
/~nmchenry1/index_PCP.html,600,101,167
/~nmchenry1/index_PCP.html,616,119,172
/~nmchenry1/index_PCP.html,634,134,178
/~nmchenry1/index_PCP.html,650,148,184
/~nmchenry1/index_PCP.html,666,161,188
/~nmchenry1/index_PCP.html,684,175,193
/~nmchenry1/index_PCP.html,698,365,44
/~nmchenry1/index_PCP.html,714,366,45
/~nmchenry1/index_PCP.html,732,368,46
/~nmchenry1/index_PCP.html,738,267,69
/~nmchenry1/index_PCP.html,748,370,46
/~nmchenry1/index_PCP.html,754,267,71
/~nmchenry1/index_PCP.html,764,371,47
/~nmchenry1/index_PCP.html,770,267,73
/~nmchenry1/index_PCP.html,782,371,47
/~nmchenry1/index_PCP.html,786,267,74
/~nmchenry1/index_PCP.html,798,372,48
/~nmchenry1/index_PCP.html,804,270,76
/~nmchenry1/index_PCP.html,814,372,49
/~nmchenry1/index_PCP.html,820,273,77
/~nmchenry1/index_PCP.html,838,276,78
/~nmchenry1/index_PCP.html,848,373,50
/~nmchenry1/index_PCP.html,854,282,81
/~nmchenry1/index_PCP.html,856,217,191
/~nmchenry1/index_PCP.html,864,373,50
/~nmchenry1/index_PCP.html,870,290,83
/~nmchenry1/index_PCP.html,872,217,193
/~nmchenry1/index_PCP.html,888,218,196
/~nmchenry1/index_PCP.html,888,299,86
/~nmchenry1/index_PCP.html,898,374,51
/~nmchenry1/index_PCP.html,904,218,197
/~nmchenry1/index_PCP.html,904,307,88
/~nmchenry1/index_PCP.html,918,177,193
/~nmchenry1/index_PCP.html,920,315,90
/~nmchenry1/index_PCP.html,922,218,198
/~nmchenry1/index_PCP.html,934,195,195
/~nmchenry1/index_PCP.html,938,320,92
/~nmchenry1/index_PCP.html,940,219,200
/~nmchenry1/index_PCP.html,948,374,51
/~nmchenry1/index_PCP.html,954,325,93
/~nmchenry1/index_PCP.html,956,219,201
/~nmchenry1/index_PCP.html,966,374,52
/~nmchenry1/index_PCP.html,970,328,94
/~nmchenry1/index_PCP.html,972,220,202
/~nmchenry1/index_PCP.html,982,373,53
/~nmchenry1/index_PCP.html,986,329,95
/~nmchenry1/index_PCP.html,990,220,203
/~nmchenry1/index_PCP.html,998,372,54
/~nmchenry1/index_PCP.html,1004,330,95
/~nmchenry1/index_PCP.html,1006,220,204
/~nmchenry1/index_PCP.html,1014,371,57
/~nmchenry1/index_PCP.html,1022,220,205
/~nmchenry1/index_PCP.html,1022,330,95
/~nmchenry1/index_PCP.html,1030,371,59
/~nmchenry1/index_PCP.html,1038,331,96
/~nmchenry1/index_PCP.html,1040,221,206
/~nmchenry1/index_PCP.html,1048,371,61
/~nmchenry1/index_PCP.html,1054,333,98
/~nmchenry1/index_PCP.html,1056,221,207
/~nmchenry1/index_PCP.html,1064,371,64
/~nmchenry1/index_PCP.html,1070,336,98
/~nmchenry1/index_PCP.html,1072,221,208
/~nmchenry1/index_PCP.html,1082,371,67
/~nmchenry1/index_PCP.html,1088,221,208
/~nmchenry1/index_PCP.html,1088,339,100
/~nmchenry1/index_PCP.html,1102,372,70
/~nmchenry1/index_PCP.html,1104,342,100
/~nmchenry1/index_PCP.html,1108,221,210
/~nmchenry1/index_PCP.html,1116,374,74
/~nmchenry1/index_PCP.html,1122,221,213
/~nmchenry1/index_PCP.html,1122,344,101
/~nmchenry1/index_PCP.html,1136,376,78
/~nmchenry1/index_PCP.html,1138,346,101
/~nmchenry1/index_PCP.html,1140,221,214
/~nmchenry1/index_PCP.html,1148,379,81
/~nmchenry1/index_PCP.html,1154,349,101
/~nmchenry1/index_PCP.html,1156,221,215
/~nmchenry1/index_PCP.html,1166,383,83
/~nmchenry1/index_PCP.html,1170,351,102
/~nmchenry1/index_PCP.html,1172,221,216
