page,value,x,y
/~nmchenry1/index_charts.html,24,359,243
/~nmchenry1/index_charts.html,61,677,435
/~nmchenry1/index_charts.html,97,243,20
/~nmchenry1/index_charts.html,115,248,23
/~nmchenry1/index_charts.html,132,264,35
/~nmchenry1/index_charts.html,148,297,60
/~nmchenry1/index_charts.html,181,330,88
/~nmchenry1/index_charts.html,197,367,121
/~nmchenry1/index_charts.html,215,406,154
/~nmchenry1/index_charts.html,231,448,192
/~nmchenry1/index_charts.html,248,487,225
/~nmchenry1/index_charts.html,265,521,259
/~nmchenry1/index_charts.html,280,553,294
/~nmchenry1/index_charts.html,315,583,325
/~nmchenry1/index_charts.html,330,604,351
/~nmchenry1/index_charts.html,349,622,373
/~nmchenry1/index_charts.html,364,632,387
/~nmchenry1/index_charts.html,382,640,398
/~nmchenry1/index_charts.html,398,643,407
/~nmchenry1/index_charts.html,414,644,416
/~nmchenry1/index_charts.html,431,644,422
/~nmchenry1/index_charts.html,465,644,424
/~nmchenry1/index_charts.html,481,644,427
/~nmchenry1/index_charts.html,498,640,429
/~nmchenry1/index_charts.html,514,631,432
/~nmchenry1/index_charts.html,531,608,434
/~nmchenry1/index_charts.html,538,207,25
/~nmchenry1/index_charts.html,548,564,433
/~nmchenry1/index_charts.html,554,207,32
/~nmchenry1/index_charts.html,565,520,427
/~nmchenry1/index_charts.html,572,211,51
/~nmchenry1/index_charts.html,599,477,416
/~nmchenry1/index_charts.html,606,218,91
/~nmchenry1/index_charts.html,618,436,405
/~nmchenry1/index_charts.html,622,225,131
/~nmchenry1/index_charts.html,633,406,395
/~nmchenry1/index_charts.html,640,229,164
/~nmchenry1/index_charts.html,650,389,388
/~nmchenry1/index_charts.html,656,232,191
/~nmchenry1/index_charts.html,664,379,385
/~nmchenry1/index_charts.html,672,235,213
/~nmchenry1/index_charts.html,682,376,383
/~nmchenry1/index_charts.html,688,239,229
/~nmchenry1/index_charts.html,704,240,242
/~nmchenry1/index_charts.html,714,380,380
/~nmchenry1/index_charts.html,722,243,251
/~nmchenry1/index_charts.html,747,400,378
/~nmchenry1/index_charts.html,764,447,378
/~nmchenry1/index_charts.html,764,232,31
/~nmchenry1/index_charts.html,781,234,36
/~nmchenry1/index_charts.html,782,485,379
/~nmchenry1/index_charts.html,788,243,252
/~nmchenry1/index_charts.html,797,522,384
/~nmchenry1/index_charts.html,797,236,45
/~nmchenry1/index_charts.html,813,238,54
/~nmchenry1/index_charts.html,814,546,390
/~nmchenry1/index_charts.html,830,239,63
/~nmchenry1/index_charts.html,832,564,397
/~nmchenry1/index_charts.html,847,576,401
/~nmchenry1/index_charts.html,848,240,73
/~nmchenry1/index_charts.html,864,584,407
/~nmchenry1/index_charts.html,864,242,81
/~nmchenry1/index_charts.html,896,244,91
/~nmchenry1/index_charts.html,897,589,411
/~nmchenry1/index_charts.html,914,590,411
/~nmchenry1/index_charts.html,915,244,99
/~nmchenry1/index_charts.html,930,591,412
/~nmchenry1/index_charts.html,930,245,104
/~nmchenry1/index_charts.html,965,591,413
/~nmchenry1/index_charts.html,981,591,414
/~nmchenry1/index_charts.html,997,589,414
/~nmchenry1/index_charts.html,1016,584,415
/~nmchenry1/index_charts.html,1048,579,416
/~nmchenry1/index_charts.html,1064,576,416
/~nmchenry1/index_charts.html,1097,576,415
/~nmchenry1/index_charts.html,1114,589,405
/~nmchenry1/index_charts.html,1122,244,253
/~nmchenry1/index_charts.html,1131,632,382
/~nmchenry1/index_charts.html,1138,244,254
/~nmchenry1/index_charts.html,1148,674,360
