page,value,x,y
/~nmchenry1/index_maps.html,27,112,432
/~nmchenry1/index_maps.html,71,274,509
/~nmchenry1/index_maps.html,548,22,244
/~nmchenry1/index_maps.html,564,22,246
/~nmchenry1/index_maps.html,566,64,424
/~nmchenry1/index_maps.html,580,30,251
/~nmchenry1/index_maps.html,584,420,253
/~nmchenry1/index_maps.html,597,40,256
/~nmchenry1/index_maps.html,614,51,259
/~nmchenry1/index_maps.html,631,56,261
/~nmchenry1/index_maps.html,647,68,267
/~nmchenry1/index_maps.html,664,81,268
/~nmchenry1/index_maps.html,681,87,269
/~nmchenry1/index_maps.html,697,99,271
/~nmchenry1/index_maps.html,715,112,274
/~nmchenry1/index_maps.html,732,126,277
/~nmchenry1/index_maps.html,732,384,441
/~nmchenry1/index_maps.html,747,132,279
/~nmchenry1/index_maps.html,748,400,443
/~nmchenry1/index_maps.html,764,143,282
/~nmchenry1/index_maps.html,764,409,444
/~nmchenry1/index_maps.html,765,420,254
/~nmchenry1/index_maps.html,780,414,444
/~nmchenry1/index_maps.html,782,151,285
/~nmchenry1/index_maps.html,790,425,255
/~nmchenry1/index_maps.html,798,155,287
/~nmchenry1/index_maps.html,799,444,265
/~nmchenry1/index_maps.html,814,416,445
/~nmchenry1/index_maps.html,815,164,291
/~nmchenry1/index_maps.html,815,486,288
/~nmchenry1/index_maps.html,830,172,295
/~nmchenry1/index_maps.html,830,529,315
/~nmchenry1/index_maps.html,847,176,296
/~nmchenry1/index_maps.html,864,176,297
/~nmchenry1/index_maps.html,864,570,343
/~nmchenry1/index_maps.html,885,603,366
/~nmchenry1/index_maps.html,915,610,372
/~nmchenry1/index_maps.html,1198,417,445
/~nmchenry1/index_maps.html,1214,424,447
/~nmchenry1/index_maps.html,1241,878,449
/~nmchenry1/index_maps.html,1246,442,447
/~nmchenry1/index_maps.html,1266,299,461
/~nmchenry1/index_maps.html,1268,488,447
/~nmchenry1/index_maps.html,1282,546,444
/~nmchenry1/index_maps.html,1286,854,449
/~nmchenry1/index_maps.html,1300,582,440
/~nmchenry1/index_maps.html,1314,605,438
/~nmchenry1/index_maps.html,1332,616,437
/~nmchenry1/index_maps.html,1347,612,373
/~nmchenry1/index_maps.html,1348,620,435
/~nmchenry1/index_maps.html,1359,857,449
/~nmchenry1/index_maps.html,1364,621,435
/~nmchenry1/index_maps.html,1365,619,376
/~nmchenry1/index_maps.html,1366,859,449
/~nmchenry1/index_maps.html,1367,305,210
/~nmchenry1/index_maps.html,1379,644,386
/~nmchenry1/index_maps.html,1393,870,449
/~nmchenry1/index_maps.html,1397,180,297
/~nmchenry1/index_maps.html,1397,685,403
/~nmchenry1/index_maps.html,1400,622,435
