page,value,x,y
/~nmchenry1/index_PCP.html,332,515,342
/~nmchenry1/index_PCP.html,342,343,65
/~nmchenry1/index_PCP.html,496,155,163
/~nmchenry1/index_PCP.html,511,162,168
/~nmchenry1/index_PCP.html,528,192,187
/~nmchenry1/index_PCP.html,547,236,210
/~nmchenry1/index_PCP.html,580,278,233
/~nmchenry1/index_PCP.html,596,319,248
/~nmchenry1/index_PCP.html,613,348,255
/~nmchenry1/index_PCP.html,645,355,255
/~nmchenry1/index_PCP.html,829,356,255
/~nmchenry1/index_PCP.html,830,108,164
/~nmchenry1/index_PCP.html,845,358,255
/~nmchenry1/index_PCP.html,847,110,166
/~nmchenry1/index_PCP.html,863,119,171
/~nmchenry1/index_PCP.html,879,368,255
/~nmchenry1/index_PCP.html,881,144,186
/~nmchenry1/index_PCP.html,896,384,257
/~nmchenry1/index_PCP.html,897,179,208
/~nmchenry1/index_PCP.html,912,408,259
/~nmchenry1/index_PCP.html,929,426,263
/~nmchenry1/index_PCP.html,933,214,232
/~nmchenry1/index_PCP.html,947,244,254
/~nmchenry1/index_PCP.html,963,434,265
/~nmchenry1/index_PCP.html,963,275,279
/~nmchenry1/index_PCP.html,980,292,295
/~nmchenry1/index_PCP.html,997,301,303
/~nmchenry1/index_PCP.html,1311,436,265
/~nmchenry1/index_PCP.html,1330,444,265
/~nmchenry1/index_PCP.html,1345,460,265
/~nmchenry1/index_PCP.html,1363,486,264
/~nmchenry1/index_PCP.html,1363,302,303
/~nmchenry1/index_PCP.html,1380,511,263
/~nmchenry1/index_PCP.html,1380,305,304
/~nmchenry1/index_PCP.html,1396,531,261
/~nmchenry1/index_PCP.html,1398,314,307
/~nmchenry1/index_PCP.html,1414,549,259
/~nmchenry1/index_PCP.html,1414,327,311
/~nmchenry1/index_PCP.html,1429,567,256
/~nmchenry1/index_PCP.html,1430,344,315
/~nmchenry1/index_PCP.html,1447,364,321
/~nmchenry1/index_PCP.html,1463,579,255
/~nmchenry1/index_PCP.html,1464,380,326
/~nmchenry1/index_PCP.html,1480,591,254
/~nmchenry1/index_PCP.html,1496,599,254
/~nmchenry1/index_PCP.html,1512,606,253
/~nmchenry1/index_PCP.html,1515,389,329
/~nmchenry1/index_PCP.html,1529,608,253
/~nmchenry1/index_PCP.html,1545,610,252
