x,y,value
359,243,230.80004883
547,394,1224.800049
546,395,1336.800049
545,396,2412.800049
545,399,2428.800049
544,400,2444.800049
543,403,2460.800049
543,407,2478.800049
543,409,2495.800049
543,416,2511.800049
543,418,2527.800049
543,421,2544.800049
543,425,2562.800049
543,426,2578.800049
543,429,2593.800049
543,432,2612.800049
543,433,2645.800049
543,434,2661.800049
544,436,2700.800049
544,437,2718.800049
544,439,2728.800049
547,442,2744.800049
550,446,2760.800049
554,452,2778.800049
554,450,2860.800049
555,447,3011.800049
557,444,3028.800049
558,442,3044.800049
560,436,3060.800049
562,430,3077.800049
561,431,3144.800049
560,433,3161.800049
560,437,3178.800049
560,438,3195.800049
560,441,3211.800049
560,445,3227.800049
560,449,3244.800049
560,452,3261.800049
560,458,3277.800049
560,464,3295.800049
557,472,3311.800049
555,474,3327.800049
548,481,3345.800049
546,482,3361.800049
536,487,3378.800049
530,490,3394.800049
522,492,3411.800049
519,493,3427.800049
510,493,3445.800049
504,493,3461.800049
497,493,3478.800049
496,493,3494.800049
494,492,3510.800049
494,490,3561.800049
497,488,3576.800049
499,487,3594.800049
506,484,3610.800049
511,483,3627.800049
521,480,3644.800049
530,478,3660.800049
536,477,3677.800049
542,476,3694.800049
544,476,3712.800049
545,476,3727.800049
543,476,5078.800049
539,476,5094.800049
537,476,5111.800049
534,476,5127.800049
530,476,5144.800049
528,477,5161.800049
525,479,5178.800049
521,481,5194.800049
518,483,5211.800049
517,484,5244.800049
516,484,5511.800049
513,484,5529.800049
509,485,5544.800049
497,489,5561.800049
489,490,5577.800049
478,492,5595.800049
477,492,5611.800049
478,492,5677.800049
487,491,5694.800049
499,489,5710.800049
505,489,5728.800049
519,489,5744.800049
524,489,5761.800049
526,489,5777.800049
525,489,5877.800049
524,490,5894.800049
521,491,5910.800049
516,493,5927.800049
515,494,5960.800049
515,495,6010.800049
517,495,6061.800049
521,487,6077.800049
523,481,6094.800049
526,477,6111.800049
527,473,6128.800049
528,472,6145.800049
528,470,6161.800049
527,469,6177.800049
520,468,6194.800049
509,466,6211.800049
500,464,6228.800049
482,460,6244.800049
480,459,6260.800049
478,456,6278.800049
477,453,6294.800049
477,452,6311.800049
478,452,6412.800049
479,451,6427.800049
480,451,6444.800049
482,450,6460.800049
483,450,6477.800049
485,449,6495.800049
488,447,6528.800049
490,446,6544.800049
491,445,6561.800049
496,441,6578.800049
498,439,6595.800049
499,439,6610.800049
502,437,6628.800049
504,437,6645.800049
505,437,6661.800049
506,437,6677.800049
504,437,6761.800049
501,437,6778.800049
498,437,6794.800049
497,437,6811.800049
498,437,6878.800049
500,436,6893.800049
504,435,6912.800049
508,434,6928.800049
511,434,6944.800049
512,434,6961.800049
511,435,7060.800049
510,435,7077.800049
509,436,7095.800049
511,436,7294.800049
514,436,7311.800049
517,436,7328.800049
521,436,7345.800049
523,436,7360.800049
527,435,7378.800049
528,435,7395.800049
529,435,7477.800049
528,436,7528.800049
528,437,7544.800049
527,440,7560.800049
525,442,7577.800049
523,444,7594.800049
522,446,7611.800049
520,450,7627.800049
518,452,7643.800049
518,453,7660.800049
519,453,7794.800049
518,453,9277.800049
517,453,9294.800049
514,453,9311.800049
508,454,9327.800049
501,457,9343.800049
493,459,9360.800049
492,460,9377.800049
488,465,9393.800049
486,468,9411.800049
482,474,9428.800049
476,479,9444.800049
472,483,9460.800049
471,483,9477.800049
470,483,9495.800049
467,479,9511.800049
463,467,9528.800049
460,448,9544.800049
457,426,9567.800049
451,399,9586.800049
448,378,9608.800049
448,374,9614.800049
447,370,9628.800049
447,369,9645.800049
443,369,9777.800049
440,369,9795.800049
438,369,9811.800049
435,370,9827.800049
432,370,9845.800049
431,370,9862.800049
426,371,9878.800049
420,372,9895.800049
419,372,9911.800049
418,372,9928.800049
419,372,10061.80005
416,373,10145.80005
411,376,10163.80005
410,378,10180.80005
404,381,10195.80005
403,382,10211.80005
402,382,10228.80005
404,382,10345.80005
406,381,10361.80005
410,379,10378.80005
411,379,10394.80005
409,379,10496.80005
406,379,10513.80005
403,379,10529.80005
398,380,10545.80005
395,380,10563.80005
397,379,10728.80005
400,377,10744.80005
401,376,10761.80005
403,374,10779.80005
404,372,10829.80005
405,370,10845.80005
405,368,10863.80005
407,363,10879.80005
409,357,10894.80005
412,348,10911.80005
414,341,10927.80005
415,337,10944.80005
416,334,10961.80005
417,332,10977.80005
418,329,10995.80005
418,331,11245.80005
416,335,11262.80005
415,338,11277.80005
413,341,11295.80005
413,343,11312.80005
412,344,11345.80005
412,346,11528.80005
412,351,11544.80005
409,361,11562.80005
407,375,11581.80005
403,393,11614.80005
402,395,11629.80005
401,398,11644.80005
401,400,11661.80005
399,402,11677.80005
400,401,11794.80005
401,400,11811.80005
407,395,11828.80005
408,393,11847.80005
413,389,11863.80005
418,386,11881.80005
421,384,11895.80005
424,383,11911.80005
424,384,11994.80005
424,385,12011.80005
422,393,12027.80005
419,401,12047.80005
417,407,12069.80005
415,413,12079.80005
414,421,12094.80005
413,426,12111.80005
413,438,12128.80005
413,447,12145.80005
413,456,12161.80005
413,461,12177.80005
413,464,12194.80005
414,466,12211.80005
416,471,12228.80005
418,475,12244.80005
419,475,12262.80005
421,475,12277.80005
424,469,12294.80005
427,456,12311.80005
432,444,12327.80005
435,437,12345.80005
438,431,12361.80005
439,428,12378.80005
439,426,12394.80005
439,423,12410.80005
439,420,12428.80005
439,415,12446.80005
438,412,12463.80005
427,410,12477.80005
407,413,12496.80005
391,422,12511.80005
380,437,12529.80005
374,461,12545.80005
372,491,12560.80005
371,528,12577.80005
369,554,12594.80005
365,574,12611.80005
363,589,12628.80005
361,598,12644.80005
360,604,12661.80005
357,609,12677.80005
354,614,12694.80005
351,618,12712.80005
344,622,12728.80005
328,629,12744.80005
315,633,12763.80005
298,635,12779.80005
291,633,12797.80005
286,629,12811.80005
283,620,12827.80005
283,619,12845.80005
286,610,12861.80005
291,603,12879.80005
292,601,12894.80005
296,597,12911.80005
300,592,12928.80005
301,590,12945.80005
305,583,12961.80005
306,580,12978.80005
308,576,12995.80005
308,575,13010.80005
307,575,13078.80005
305,576,13096.80005
304,579,13111.80005
304,590,13128.80005
304,600,13145.80005
304,610,13162.80005
306,622,13178.80005
306,630,13194.80005
306,640,13212.80005
306,647,13228.80005
306,648,13694.80005
305,648,18261.80005
304,647,18278.80005
307,641,18295.80005
322,624,18311.80005
353,605,18328.80005
384,590,18345.80005
415,578,18361.80005
443,572,18378.80005
468,568,18396.80005
484,565,18413.80005
485,565,18434.80005
483,565,18511.80005
463,567,18529.80005
446,570,18544.80005
433,573,18561.80005
422,575,18578.80005
419,576,18595.80005
421,574,18728.80005
423,573,18745.80005
429,570,18761.80005
430,569,18777.80005
431,569,18795.80005
432,568,18813.80005
440,568,19145.80005
455,567,19161.80005
468,565,19178.80005
482,565,19196.80005
495,565,19219.80005
498,564,19228.80005
502,564,19244.80005
502,565,19295.80005
501,567,19311.80005
501,569,19327.80005
501,571,19345.80005
501,572,19429.80005
503,572,19462.80005
509,572,19478.80005
511,572,19495.80005
515,572,19511.80005
520,572,19528.80005
522,572,19545.80005
523,572,19594.80005
525,572,19628.80005
542,572,19644.80005
563,572,19661.80005
590,572,19677.80005
615,573,19694.80005
637,577,19710.80005
650,581,19728.80005
655,583,19744.80005
655,584,19778.80005
654,586,19811.80005
651,588,19828.80005
650,588,19845.80005
649,588,27828.80005
648,588,27844.80005
646,588,27860.80005
643,589,27877.80005
642,589,27894.80005
641,589,27927.80005
640,589,27945.80005
637,590,27961.80005
633,592,27977.80005
631,593,27995.80005
624,596,28011.80005
617,599,28027.80005
604,604,28044.80005
593,608,28061.80005
582,613,28077.80005
574,615,28094.80005
568,617,28111.80005
564,619,28128.80005
561,621,28144.80005
559,623,28161.80005
557,623,28177.80005
557,624,28194.80005
557,627,28212.80005
557,628,28228.80005
564,632,28245.80005
569,634,28261.80005
571,635,28278.80005
565,632,28328.80005
552,627,28344.80005
544,624,28361.80005
519,618,28378.80005
504,615,28395.80005
488,613,28411.80005
471,611,28428.80005
459,611,28445.80005
452,611,28461.80005
449,611,28477.80005
451,611,28527.80005
452,612,28545.80005
454,614,28560.80005
458,616,28578.80005
463,619,28596.80005
480,625,28618.80005
486,627,28628.80005
504,631,28645.80005
517,632,28662.80005
525,632,28677.80005
535,632,28696.80005
548,630,28712.80005
558,627,28728.80005
564,624,28744.80005
569,621,28761.80005
572,619,28778.80005
573,617,28795.80005
573,615,28811.80005
570,615,28845.80005
553,615,28861.80005
534,615,28878.80005
512,615,28895.80005
486,615,28913.80005
454,615,28933.80005
436,614,28945.80005
418,613,28960.80005
412,612,28979.80005
411,612,28996.80005
411,611,29029.80005
414,609,29046.80005
416,607,29061.80005
429,594,29077.80005
442,577,29095.80005
452,567,29112.80005
464,550,29129.80005
470,540,29144.80005
478,528,29162.80005
490,514,29178.80005
500,507,29195.80005
506,506,29212.80005
508,506,29228.80005
511,502,29396.80005
542,475,29412.80005
570,452,29427.80005
623,420,29458.80005
635,414,29463.80005
651,408,29479.80005
669,403,29496.80005
687,400,29512.80005
700,400,29527.80005
705,401,29544.80005
706,404,29562.80005
704,407,29579.80005
684,415,29595.80005
656,419,29612.80005
634,423,29628.80005
622,425,29676.80005
623,425,29763.80005
627,423,29794.80005
629,421,29812.80005
640,412,29828.80005
654,405,29845.80005
679,396,29862.80005
698,385,29878.80005
717,375,29894.80005
742,363,29912.80005
761,354,29928.80005
786,343,29948.80005
813,326,29966.80005
830,316,29979.80005
848,306,29996.80005
861,301,30011.80005
867,299,30029.80005
869,298,30045.80005
872,297,30178.80005
875,297,30194.80005
895,293,30211.80005
924,288,30229.80005
968,286,30245.80005
1030,286,30261.80005
1102,292,30278.80005
1172,307,30296.80005
1201,319,30312.80005
1209,323,30328.80005
1210,324,30344.80005
1208,324,30361.80005
1196,323,30378.80005
1176,320,30395.80005
1177,320,30545.80005
1180,320,30561.80005
1181,320,30579.80005
1185,320,30595.80005
1185,319,30611.80005
1180,319,30696.80005
1178,319,30712.80005
1175,319,30727.80005
1170,321,30745.80005
1159,325,30762.80005
1147,329,30778.80005
1129,336,30796.80005
1121,339,30811.80005
1111,343,30827.80005
1104,346,30844.80005
1093,350,30862.80005
1088,351,30879.80005
1087,351,30895.80005
1086,351,30928.80005
1083,351,30945.80005
1077,348,30962.80005
1065,343,30977.80005
1053,339,30995.80005
1041,333,31013.80005
1034,329,31029.80005
1023,322,31045.80005
1011,315,31061.80005
1000,309,31078.80005
992,305,31094.80005
988,304,31111.80005
987,303,31128.80005
986,303,31146.80005
986,302,31161.80005
985,302,31178.80005
983,302,31195.80005
982,302,31211.80005
981,301,31230.80005
980,301,31261.80005
977,300,31281.80005
974,300,31300.80005
972,300,31312.80005
969,300,31331.80005
967,300,31353.80005
966,300,31369.80005
965,300,31395.80005
964,299,31462.80005
