value	carat	price
1337.199951	448	344
1402.199951	445	342
1439.199951	454	339
1463.199951	480	337
1486.199951	500	335
1490.199951	503	335
1508.199951	514	335
1517.199951	517	335
1531.199951	521	335
1548.199951	524	334
1565.199951	526	334
1581.199951	527	333
1631.199951	526	333
1648.199951	525	333
1681.199951	524	333
1698.199951	523	333
1732.199951	519	334
1749.199951	516	334
1764.199951	512	334
1784.199951	511	334
1798.199951	510	334
1815.199951	508	334
1832.199951	507	335
1848.199951	505	336
1864.199951	503	338
1883.199951	500	340
1898.199951	499	341
1914.199951	495	345
1932.199951	493	347
1949.199951	491	350
1965.199951	489	351
2032.199951	488	352
2067.199951	485	352
2084.199951	481	352
2097.199951	479	352
2115.199951	475	353
2131.199951	473	354
2149.199951	469	355
2164.199951	465	355
2182.199951	464	355
2199.199951	460	355
2216.199951	456	356
2232.199951	452	357
2249.199951	449	357
2266.199951	447	357
2499.199951	448	355
2516.199951	450	351
2533.199951	450	350
2549.199951	451	348
3098.199951	451	349
3132.199951	451	350
3148.199951	451	351
3165.199951	451	353
3182.199951	451	354
3199.199951	451	356
3215.199951	451	360
3232.199951	451	361
3249.199951	451	364
3265.199951	451	367
3282.199951	451	368
3299.199951	451	371
3315.199951	451	372
3332.199951	451	373
3350.199951	451	374
3365.199951	451	376
3398.199951	451	377
3415.199951	451	379
3431.199951	451	380
3466.199951	451	381
3548.199951	451	382
3565.199951	451	383
3581.199951	451	384
3598.199951	451	385
3615.199951	451	386
3648.199951	451	387
3665.199951	451	389
3682.199951	451	390
3698.199951	451	393
3748.199951	451	394
3766.199951	451	395
3965.199951	451	396
5214.199951	451	397
10366.19995	417	364
10382.19995	432	377
10399.19995	459	397
10416.19995	507	431
10432.19995	551	465
10448.19995	598	499
10465.19995	635	525
10481.19995	659	541
10498.19995	672	550
10516.19995	675	554
10548.19995	665	552
10566.19995	642	546
10582.19995	636	545
10664.19995	636	544
10748.19995	637	543
10765.19995	639	542
10781.19995	643	542
10798.19995	652	542
10815.19995	668	542
10832.19995	688	542
10848.19995	713	542
10865.19995	733	542
10881.19995	753	542
10898.19995	769	542
10914.19995	780	542
10932.19995	786	541
10948.19995	789	540
11215.19995	788	540
11232.19995	784	542
11248.19995	784	543
11282.19995	784	544
11300.19995	784	547
11319.19995	784	549
11748.19995	784	551
11765.19995	784	560
11782.19995	785	571
11798.19995	786	578
11815.19995	786	589
11831.19995	788	597
11848.19995	788	603
11864.19995	788	606
11881.19995	788	609
11900.19995	788	611
11916.19995	788	612
11932.19995	788	615
11949.19995	788	616
12314.19995	788	619
12332.19995	787	621
12348.19995	784	629
12365.19995	780	635
12382.19995	778	638
12398.19995	777	639
12432.19995	776	639
12598.19995	776	638
12615.19995	776	637
12648.19995	776	636
12665.19995	776	635
12748.19995	774	635
12765.19995	773	637
12781.19995	770	640
12798.19995	769	647
12837.19995	763	669
12840.19995	761	672
12848.19995	759	678
12885.19995	757	686
12904.19995	752	702
12915.19995	751	704
12932.19995	751	705
12998.19995	752	704
13015.19995	755	699
13031.19995	757	697
13048.19995	758	693
13065.19995	759	690
13082.19995	759	689
13331.19995	759	689
13350.19995	759	688
13431.19995	759	687
13449.19995	759	685
13464.19995	760	684
13481.19995	760	683
13665.19995	759	683
13681.19995	759	685
13698.19995	759	686
13715.19995	759	688
13731.19995	757	690
13749.19995	756	703
13766.19995	755	722
13782.19995	755	741
13799.19995	755	759
13815.19995	755	768
13831.19995	755	770
13899.19995	756	769
13915.19995	759	768
13932.19995	767	762
13948.19995	770	759
13998.19995	776	755
14015.19995	784	747
14032.19995	786	744
14049.19995	789	739
